year,data_index,all_wedges_index,no_shock_index,efficiency_only_index,labor_only_index,investment_only_index,government_only_index,data_log_deviation,all_wedges_log_deviation,no_shock_log_deviation,efficiency_only_log_deviation,labor_only_log_deviation,investment_only_log_deviation,government_only_log_deviation
1960.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1961.0,98.90108065259544,98.90108065259547,98.75922398184883,100.71979805430558,99.68345335991808,99.705132153505,100.03693810787924,-0.011050020699248098,-0.011050020699247654,-0.012485379157933352,0.007172198725196033,-0.003170487087596374,-0.0029530343822017358,0.0003693128743966767
1962.0,101.33468102298201,101.3346810229821,97.64074619906724,105.0165073100063,99.4862034878682,99.14507623630769,100.10778460930226,0.013258526230483625,0.013258526230484513,-0.023875298142399082,0.048947364289096296,-0.005151209850895899,-0.008585992000125664,0.0010772656339819164
1963.0,102.19519951683475,102.19519951683485,96.63145544830016,107.5906072110338,99.4738585744048,98.53287156106676,100.10826134705036,0.02171451921877665,0.02171451921877754,-0.03426587201537945,0.0731631643515338,-0.005275304237993161,-0.014779972050509738,0.0010820278671568317
1964.0,104.50341811782769,104.50341811782769,95.7198219792249,112.10872618725524,99.39625876125605,97.51357301588847,100.12682816964009,0.04404959414334719,0.04404959414334719,-0.04374478275716065,0.1142989839440558,-0.006055711250638307,-0.025178607253792062,0.0012674781065507013
1965.0,107.75667983810177,107.75667983810182,94.89567846552177,117.55706935015876,99.25704781910922,96.66115721257371,100.09691845835654,0.07470553493131904,0.07470553493131948,-0.05239201918019365,0.16175372628080398,-0.007457258170055603,-0.03395854765260653,0.000968715227424255
1966.0,111.31831349542857,111.31831349542868,94.15003567924116,123.98572849859099,98.71944770394435,95.61385718739285,100.18477484911315,0.1072236004958036,0.10722360049580448,-0.06028055192333248,0.21499628023996786,-0.012888220417729634,-0.04485242677600132,0.0018460435038236689
1967.0,110.91450046399501,110.91450046399507,93.4749267065112,125.9623377798879,98.41859292982541,94.56827063093955,100.27116862685092,0.10358945242675954,0.10358945242675999,-0.06747694922245362,0.23081276977310594,-0.015940447240289757,-0.055848171783900113,0.0027080162803736485
1968.0,112.95031554386671,112.95031554386682,92.86327474173984,130.97967047077583,98.23736373247166,93.26330031035799,100.22383854496057,0.12177785058175061,0.1217778505817515,-0.07404193865370612,0.2698719379242873,-0.017783556920091925,-0.06974350696087317,0.002235883997010024
1969.0,113.08278686900377,113.08278686900377,92.30878044491917,133.175437966225,98.23155471587799,92.39455028416887,100.11715328605189,0.12294999164330278,0.12294999164330278,-0.08003091958972508,0.28649715546152565,-0.017842691124537513,-0.07910218868838026,0.0011708471513989238
1970.0,109.7836943838195,109.78369438381955,91.80582559879869,131.95465376857587,98.17402040599842,91.2589545573135,100.02836751421648,0.09334182918009049,0.09334182918009137,-0.08549443069322393,0.27728814552138203,-0.01842856361303058,-0.09146906620519069,0.0002836349139792027
1971.0,109.77829017451882,109.77829017451883,91.34939040257547,134.20532078117733,97.83506707058457,90.5521172598491,99.89776583067473,0.093292601994313,0.09329260199431344,-0.0904785763929592,0.29420068590940485,-0.021887114210305203,-0.09924461971392695,-0.001022864640972898
