experiment,correlation_with_data,std_relative_to_data
all wedges,0.9999999999999997,0.9999999999999989
no shock,-0.1784080368463904,0.6848578094436205
efficiency only,0.403938797008708,2.737882917736366
labor only,-0.49629499754614204,0.19197228274857692
investment only,0.04173236910642923,1.770016511180033
government only,-0.7067781037842026,0.09639492927498544
