year,log_z,tau_h,tau_x,log_g,log_z_linear,tau_h_linear
1960.0,-3.5932064751663657,0.18662350130251404,-0.2459034473572038,-5.7543109538028006,-3.5932064751663657,0.1711775509107827
1961.0,-3.5834862703999875,0.196131282518487,-0.23183056994267512,-5.74077804948342,-3.5834862703999875,0.17921924491341634
1962.0,-3.526886579905379,0.20122362165702823,-0.20800320343772458,-5.711101850690833,-3.526886579905379,0.18428710441003432
1963.0,-3.497716983933966,0.20172978781172124,-0.1864799066212386,-5.700313754635039,-3.497716983933966,0.18458325767277506
1964.0,-3.4462670496106966,0.20325493296382657,-0.1482438895689238,-5.681001632498419,-3.4462670496106966,0.18660312336884788
1965.0,-3.388584926272879,0.20458201765478468,-0.12545251379122813,-5.676424103674377,-3.388584926272879,0.19027538326949986
1966.0,-3.325641141764817,0.21929195802589785,-0.09514199030599639,-5.627112331219811,-3.325641141764817,0.20468974640187804
1967.0,-3.318549601232093,0.23173969869713928,-0.06882474480604392,-5.567315465715808,-3.318549601232093,0.21275310533221933
1968.0,-3.2775147819980006,0.23590652514560628,-0.030856875740807758,-5.546872186488569,-3.2775147819980006,0.2175677186193919
1969.0,-3.269814421564168,0.23557375021771543,-0.0217075585853608,-5.548336475919655,-3.269814421564168,0.21754772363663116
1970.0,-3.2979667240465615,0.24014752122379024,0.004763468391720685,-5.547138714866816,-3.2979667240465615,0.21898674771146742
1971.0,-3.285348829640405,0.24579591012846636,0.004856233325240601,-5.565786490266466,-3.285348829640405,0.22833133382921922
1972.0,-3.248830134284988,0.2421564433240212,0.015329531161010957,-5.580506724494949,-3.248830134284988,0.22826591477247424
1973.0,-3.203324676783634,0.2493981917833994,0.02730963980407675,-5.572421303048074,-3.203324676783634,0.2385632729371161
1974.0,-3.2433391796149156,0.25824752490547676,0.02394427612598216,-5.604129006188363,-3.2433391796149156,0.24942787797993612
1975.0,-3.280319992280166,0.2571737656836074,0.0644270897542205,-5.554555035674356,-3.280319992280166,0.23676953615017343
1976.0,-3.233219175229321,0.25478773411549704,0.0599743567335615,-5.63687424494143,-3.233219175229321,0.24788530096462646
1977.0,-3.2039977137913773,0.2563860107522149,0.051415993249775006,-5.710533792571676,-3.2039977137913773,0.2578498696105329
1978.0,-3.1656002920154824,0.26738339502058794,0.047398318890274134,-5.7264832105711685,-3.1656002920154824,0.27309882028699456
1979.0,-3.165097819049103,0.27471800216280917,0.04195511479462961,-5.735898785320663,-3.165097819049103,0.28258693024553533
1980.0,-3.211495233951605,0.2739936623418907,0.05274160934424501,-5.709494233765218,-3.211495233951605,0.2792529576586488
1981.0,-3.2155436573347425,0.2874266037142311,0.025713209481263374,-5.714053984740476,-3.2155436573347425,0.29540750338978256
1982.0,-3.2871539106177474,0.27292558805136624,0.036950189000862624,-5.725493460513933,-3.2871539106177474,0.2749352058395572
1983.0,-3.2610185044048654,0.25603957276177647,0.05791673452067561,-5.775806387140737,-3.2610185044048654,0.2593606222885325
1984.0,-3.1939622718789495,0.26447385760531406,0.0428029935209261,-5.861556436253085,-3.1939622718789495,0.2760528020507093
1985.0,-3.174179918498277,0.26059618859616895,0.07715403905471756,-5.840814257557588,-3.174179918498277,0.2719152966552074
1986.0,-3.1621779616600865,0.26211234444468023,0.09822060507111016,-5.839906298729098,-3.1621779616600865,0.2743732261101239
1987.0,-3.157551246543335,0.2559818630348679,0.10543903502292262,-5.851113196744242,-3.157551246543335,0.26755748712019245
1988.0,-3.138135729480026,0.25528701150711774,0.13312439242943253,-5.796987273350879,-3.138135729480026,0.2647625220329146
1989.0,-3.1316412006105296,0.25288551367717493,0.1393137408395511,-5.75350249320782,-3.1316412006105296,0.2596354029422683
1990.0,-3.146097694063079,0.25264247377319327,0.15503345633075932,-5.730426135690932,-3.146097694063079,0.2564307215825622
1991.0,-3.1876666954570347,0.2606378557678668,0.16432473887458068,-5.682013442312651,-3.1876666954570347,0.2579157592390412
1992.0,-3.178507718635382,0.25505324476797187,0.1764644406150061,-5.700622182959852,-3.178507718635382,0.25246256298525255
1993.0,-3.1827880541381397,0.24515987514619197,0.1736988459883884,-5.762754832716675,-3.1827880541381397,0.24497163233276004
1994.0,-3.1677112639268907,0.2426255501500033,0.1650885218075328,-5.808290498470925,-3.1677112639268907,0.24659429071043762
1995.0,-3.1755228002990936,0.2373389838681853,0.16232118769649279,-5.825567468508934,-3.1755228002990936,0.24078088101223524
1996.0,-3.1583614809152323,0.24284816296227874,0.16774248896265342,-5.852096109218932,-3.1583614809152323,0.2496256638785544
1997.0,-3.146032257284796,0.23910791381486207,0.15649049640870416,-5.862722543793827,-3.146032257284796,0.24665016552121458
1998.0,-3.1287840843961416,0.23419513174229156,0.1608134276637423,-5.917645631888426,-3.1287840843961416,0.24334515453972505
1999.0,-3.1067177878104735,0.2303591157240642,0.17155207347920884,-5.974837334735825,-3.1067177878104735,0.24045813945722228
2000.0,-3.0923479872324102,0.2269488210211763,0.18703285098171699,-6.061089335779115,-3.0923479872324102,0.23714254792404718
2001.0,-3.1198630647243064,0.2286357104884732,0.20344377239533665,-6.018403511790708,-3.1198630647243064,0.23799669299600296
2002.0,-3.137634891087777,0.22593074168745042,0.20508232668395787,-6.025162852793723,-3.137634891087777,0.23407928731679703
