year,y,c,x,g,h,k_data
1960.0,0.01937373457832192,0.01182965772766916,0.004374987342661532,0.0031690895079912297,0.3519740071670512,0.039683683085752514
1961.0,0.019544049517940455,0.011870682093560788,0.00439685406508723,0.003276513359292437,0.35050027341021445,0.03989546880415955
1962.0,0.02042545754752383,0.012262167319716117,0.004720581154086275,0.0034427090737214373,0.3517098715943434,0.040260461960595406
1963.0,0.02101088553280984,0.012592193355599666,0.004869040760338435,0.0035496514168717403,0.35195305768615326,0.04050006810477062
1964.0,0.02191515407344871,0.0131476836447541,0.0050762241140646725,0.0036912463146299397,0.35128205128205126,0.042069917348147634
1965.0,0.023049335316490224,0.013755064689294364,0.00551192515766709,0.0037823454695287695,0.35210972233873,0.04356199515931087
1966.0,0.02428739824989825,0.014329706497174768,0.005904686224860438,0.004053005527863044,0.35045223017909233,0.04544722822941531
1967.0,0.0246832803252949,0.014543307171181472,0.005751162782759427,0.004388810371354001,0.3471133198605959,0.046973115502059036
1968.0,0.02563906410371389,0.015177960927359123,0.005892058636237806,0.004569044540116963,0.3448141701343938,0.049191489749104964
1969.0,0.026182517009823512,0.015531206188286193,0.005997704608448126,0.004653606213089194,0.3444535427002553,0.0505040598075889
1970.0,0.02592703801962429,0.015622464240017498,0.005552206649585946,0.004752367130020847,0.3395780081986979,0.05123482907950556
1971.0,0.026444276970639648,0.01588988100613693,0.005796537383993075,0.004757858580509643,0.33852912680501485,0.05341053811124618
1972.0,0.027537675801349238,0.01653739575160371,0.006218178608078666,0.004782101441666862,0.3397365967080246,0.055844208867432216
1973.0,0.02881600592707247,0.017175368629395046,0.0067232953460299475,0.004917341951647476,0.33927065634067816,0.05957939935255736
1974.0,0.028399576346479372,0.017095161300855335,0.006445267332128049,0.004859147713495988,0.33441541997904833,0.06374658157800427
1975.0,0.02806311437077783,0.017164395315971696,0.005690491211049692,0.005208227843756441,0.33119281240841847,0.06306026156990284
1976.0,0.029295466324214002,0.01794661860522159,0.0064562515780182015,0.004892596140974211,0.3315515575246473,0.06519214378303358
