year,log_z,tau_h,tau_x,log_g,log_z_linear,tau_h_linear
1948.0,-5.3212772360468845,0.5483175926766569,-0.1937570964738495,-7.154573070994968,-5.3212772360468845,0.5452115596965149
1948.25,-5.306534360580639,0.5499699689825903,-0.19807144638315005,-7.1907208265514955,-5.306534360580639,0.549019065502474
1948.5,-5.318027178259172,0.5507882711285106,-0.21622311687596,-7.1921863488455475,-5.318027178259172,0.5488057055770178
1948.75,-5.322432805334283,0.5530990652634913,-0.2152566703482763,-7.180950799121478,-5.322432805334283,0.5513454933739095
1949.0,-5.342372226021541,0.5547444335395794,-0.19563476060035073,-7.112359777756621,-5.342372226021541,0.549868703596597
1949.25,-5.349019872110924,0.5554317789169356,-0.1827213633294715,-7.097673774355197,-5.349019872110924,0.5494077201302433
1949.5,-5.325673672888728,0.5722270575143075,-0.21127134252048627,-7.140178761109456,-5.325673672888728,0.5734736233835425
1949.75,-5.337233310869032,0.5715943180376121,-0.21505925805276302,-7.206428044494541,-5.337233310869032,0.5765470690599441
1950.0,-5.2869296393787835,0.5819723770990017,-0.22572528763508873,-7.227563630667992,-5.2869296393787835,0.5906720277579398
1950.25,-5.267109926101675,0.5774361295028331,-0.22365460095204637,-7.244700270306152,-5.267109926101675,0.584424907107468
1950.5,-5.2443402726879675,0.571893947927747,-0.2355379622331446,-7.348243528930953,-5.2443402726879675,0.5759090074221663
1950.75,-5.239194799443469,0.577372669900072,-0.24702812859866224,-7.272242729729222,-5.239194799443469,0.5777941273647629
1951.0,-5.251019660403618,0.5646014141914186,-0.22772579478646457,-7.176931975185314,-5.251019660403618,0.5605197655772375
1951.25,-5.2466216679473785,0.5677856691460257,-0.2230792729993892,-7.066251464003287,-5.2466216679473785,0.5585807054296341
1951.5,-5.221702793243319,0.5723238313121071,-0.19164809089623097,-6.94928093366079,-5.221702793243319,0.559553031408156
1951.75,-5.231525465878493,0.5686784117255321,-0.18204818335622486,-6.922698608796575,-5.231525465878493,0.5540775341998284
1952.0,-5.228874631099129,0.5694014645087153,-0.1821289880085038,-6.909698096270382,-5.228874631099129,0.5538225704582921
1952.25,-5.231953028037321,0.5648778574354982,-0.1598390924245107,-6.8865301370424685,-5.231953028037321,0.5482554682047882
1952.5,-5.234245020022494,0.5620782345100095,-0.16432356137006962,-6.913132572396821,-5.234245020022494,0.5469543825824006
1952.75,-5.211000781736887,0.5588475778116133,-0.1617954514373953,-6.907126991348546,-5.211000781736887,0.5423362478013991
1953.0,-5.196052491308908,0.5612806235781767,-0.15947000084710783,-6.892786411925288,-5.196052491308908,0.5441790141812174
1953.25,-5.193709359819761,0.5630388395418546,-0.159098698754688,-6.887548123138166,-5.193709359819761,0.5461481038996745
1953.5,-5.206937204095194,0.5648758364153847,-0.16667001231094097,-6.905406179971007,-5.206937204095194,0.5497871018673327
1953.75,-5.229344118344429,0.5665919946310813,-0.16354397649397262,-6.8934110444095245,-5.229344118344429,0.5515520241054951
1954.0,-5.237832851467709,0.5658732105810135,-0.16640893588487735,-6.938332380514814,-5.237832851467709,0.5546007607453556
1954.25,-5.233194616456034,0.5705552629677011,-0.16797557459998516,-6.964108200876838,-5.233194616456034,0.5628079740868379
1954.5,-5.221157906572901,0.5730495068287046,-0.16471383017724123,-6.9701430739614505,-5.221157906572901,0.5668821910752272
1954.75,-5.20915189628584,0.5722581106302,-0.16388662430040782,-6.964804611147195,-5.20915189628584,0.5654377705810312
1955.0,-5.188864079972508,0.5733502750352146,-0.17026712013692094,-6.964475264677153,-5.188864079972508,0.5656732006854981
1955.25,-5.182040047936649,0.5732207254537207,-0.17914113314512753,-6.993558561619114,-5.182040047936649,0.5662179134696202
1955.5,-5.185907892365972,0.5705546646316353,-0.18019406543779323,-6.965329042348454,-5.185907892365972,0.5604294872219131
1955.75,-5.199012604840926,0.5625251283235337,-0.18396502343646523,-7.000442632670033,-5.199012604840926,0.5525570647961551
1956.0,-5.214809099801498,0.561339164121083,-0.18834798994410046,-7.011783034581721,-5.214809099801498,0.5522975807148223
1956.25,-5.2156728626521405,0.5624549765961517,-0.18379968999596275,-6.971194187043418,-5.2156728626521405,0.551539486260341
1956.5,-5.226655373725837,0.5634027599744112,-0.1943103107987001,-6.997734512495281,-5.226655373725837,0.5540134047338591
1956.75,-5.211455873493306,0.5674044341115286,-0.18444194519480459,-6.954574480913348,-5.211455873493306,0.5567871338177843
1957.0,-5.2101262002604845,0.5729530907484938,-0.18862521345410665,-6.935530201964894,-5.2101262002604845,0.5620887411832425
1957.25,-5.220794229639479,0.5741106299641829,-0.19461123859315022,-6.952988417187538,-5.220794229639479,0.5648996053490567
1957.5,-5.218568291094667,0.5726667080922914,-0.19113294621747748,-6.959538479799071,-5.218568291094667,0.5640151054531362
1957.75,-5.225746883447741,0.5780508690333002,-0.18115305317148309,-6.945906246524979,-5.225746883447741,0.5714594167359623
1958.0,-5.253413452534462,0.5834498494288215,-0.19394533153007446,-7.001038074186808,-5.253413452534462,0.5823285151858173
1958.25,-5.245793369908349,0.5859323976967981,-0.18149464359769926,-6.981186778084082,-5.245793369908349,0.5847456843297267
1958.5,-5.2245735953015044,0.5886608795549104,-0.1850753876156144,-6.983798667779455,-5.2245735953015044,0.5886334677835718
1958.75,-5.210945792916388,0.5897418688086415,-0.19616519077900568,-6.9913595905863515,-5.210945792916388,0.5894768810488317
1959.0,-5.2025450424325195,0.5862013869704477,-0.1996472237648864,-7.024541572281229,-5.2025450424325195,0.5863197049315069
1959.25,-5.198071832804587,0.5796994819596597,-0.19985203109155716,-7.032287138151627,-5.198071832804587,0.5772872509714257
1959.5,-5.199420324290576,0.5810026134547474,-0.18847373722598112,-7.007998326391785,-5.199420324290576,0.5793316423593047
1959.75,-5.206799890806977,0.5775619320954639,-0.18587999430315744,-7.022381752598089,-5.206799890806977,0.576325000124124
1960.0,-5.180735397269075,0.5868498576846789,-0.19597619350080564,-7.0285982804431395,-5.180735397269075,0.5872641218791754
1960.25,-5.209895113099334,0.5741404131281892,-0.18289910965362569,-7.016419321456926,-5.209895113099334,0.5718057796637988
1960.5,-5.2134436696795206,0.5778079312581672,-0.1862740495286938,-6.9858303109736335,-5.2134436696795206,0.5741819556843981
1960.75,-5.235219353583491,0.575902486459311,-0.17157137822385665,-6.963665406806102,-5.235219353583491,0.5711708573765503
1961.0,-5.231754234592641,0.5791144472886127,-0.176522744879988,-6.984092455639298,-5.231754234592641,0.5767827485946908
1961.25,-5.205065292951227,0.5898379520913923,-0.17775781924863351,-6.985758175555654,-5.205065292951227,0.5914289900332399
1961.5,-5.1927652883679905,0.5952761878383683,-0.1900909235156654,-6.986776275365604,-5.1927652883679905,0.5977669003807747
1961.75,-5.185359462192414,0.5935599173083126,-0.1877732913222452,-6.979691865410052,-5.185359462192414,0.5947971082703744
1962.0,-5.180850902753021,0.5929802870490763,-0.18933970824178284,-6.966869558041543,-5.180850902753021,0.5925309295159775
1962.25,-5.1841138019631465,0.59042225572396,-0.18398995778038504,-6.955746185695586,-5.1841138019631465,0.588822892487511
1962.5,-5.173185936399891,0.5952663208722759,-0.18345376232462315,-6.946427189301868,-5.173185936399891,0.5947653468234472
1962.75,-5.173479699094456,0.5968323447583341,-0.1817591170648891,-6.959135246515679,-5.173479699094456,0.5984702751353775
1963.0,-5.171704355980832,0.5992414267444579,-0.18907959692660775,-6.960631439920708,-5.171704355980832,0.6011276644456114
1963.25,-5.170959336819644,0.5998651878794033,-0.1914628908806727,-6.95527458717837,-5.170959336819644,0.6012657551469298
1963.5,-5.150118762775865,0.602345637262061,-0.18374640549689716,-6.942435221261544,-5.150118762775865,0.6041867820345581
1963.75,-5.155980784785381,0.6033381563957008,-0.18843838324070633,-6.93266585212884,-5.155980784785381,0.6044123540450146
1964.0,-5.1427456468289385,0.6018353575708935,-0.1805819016014652,-6.923150031872258,-5.1427456468289385,0.6020253998797594
1964.25,-5.147827183556043,0.5958465050732793,-0.17666737999927717,-6.933110365443808,-5.147827183556043,0.5950128416664412
