year,y,c,x,g,h,k_data
1948.0,0.005109884489794498,0.002823260117761126,0.001505341335460906,0.0007812830365724659,0.25,0.05109884489794498
1948.25,0.005180610122542264,0.002853348840565484,0.0015699757370925811,0.0007572855448841988,0.24990251406511887,0.05165847537009134
1948.5,0.0051964057391763975,0.0028251952491172585,0.0016112810987692484,0.0007599293912898907,0.25199657588472574,0.05227238289395261
1948.75,0.0051879589708894985,0.0028303526116231817,0.001585276506406177,0.0007723298528601395,0.2503774768452781,0.05291623389811054
1949.0,0.005102033623278911,0.002827011984044117,0.0014437526736059943,0.0008312689656287996,0.24678953939679918,0.05352216425015484
1949.25,0.005070396005215303,0.002841298559301507,0.0013813438118361135,0.0008477536340776819,0.24441681820873395,0.05397535652536889
1949.5,0.00510916591978274,0.002817587361894192,0.0014750713519269848,0.0008165072059615634,0.24028304463188901,0.054357752491725045
1949.75,0.005054246091177887,0.0028367814585143905,0.0014495050452267857,0.0007679595874367107,0.23735297812234768,0.054826798812372804
1950.0,0.0052422770950856755,0.00286700445699408,0.0016196423785306792,0.0007556302595609165,0.23760768186798695,0.05526159796079942
1950.25,0.00539268913941278,0.0029157696687195267,0.0017304414308361125,0.0007464780398571407,0.2416554036078801,0.05585848740587288
1950.5,0.005592047656865633,0.002960698637577064,0.001954956473006843,0.0006763925462817262,0.24794828709274078,0.05655512898362901
1950.75,0.005689999846665783,0.0029282393684947764,0.002028335690546581,0.0007334247876244257,0.2508514350148637,0.05746339252330647
1951.0,0.005757566919671313,0.002974228840021874,0.001972566416541557,0.0008107716631078815,0.2557676231712237,0.0584282256109912
1951.25,0.005847091823536527,0.002960301585034878,0.001976632764699911,0.0009101574738017376,0.2582084192590972,0.059319432795345316
1951.5,0.005957073699876488,0.0030078742321191457,0.0019210263648926516,0.0010281731028646904,0.2567052699886264,0.06019821232848478
1951.75,0.0059598582779108915,0.003031968173495207,0.0018667790512520445,0.0010611110531636406,0.25689166027474086,0.061005121466953534
