year,y,c,x,h,k_data
1948.0,0.02043953795917799,0.013104157269761923,0.004210248543126205,0.24883550168468527,0.21576861303837414
1948.25,0.020722440490169056,0.013239486921890836,0.004453811388741424,0.24873846983863188,0.21685732870562194
1948.5,0.02078562295670559,0.013182606636795711,0.0045632987547503156,0.25082277753239435,0.2181641755668003
1948.75,0.020751835883557994,0.01316968767642905,0.004492828795688387,0.24921122024536177,0.21954493290459104
1949.0,0.020408134493115643,0.01312125348339526,0.0039618051472051835,0.2456399953853397,0.22081761290320717
1949.25,0.02028158402086121,0.013337586897363928,0.0035529825871865534,0.24327832631657934,0.22154693312920828
1949.5,0.02043666367913096,0.01331582066506118,0.003854814190223527,0.23916380782919888,0.2218909694285624
1949.75,0.02021698436471155,0.013465439264150498,0.0036797067508142086,0.23624738954971403,0.22259225861415669
1950.0,0.020969108380342702,0.013658429020369362,0.004288158321729674,0.2365009068870225,0.22318875267980212
1950.25,0.02157075655765112,0.013876662027420942,0.004708182370801616,0.2405297743663278,0.22444513130301283
1950.5,0.022368190627462533,0.014554316946289676,0.005108303496045952,0.24679334564232208,0.22613630082998432
1950.75,0.02275999938666313,0.014081257961815415,0.005745042274350012,0.2496829707209873,0.22820820286405852
1951.0,0.02303026767868525,0.014339631668221381,0.005447549358032344,0.2545762593060439,0.2308697003067365
1951.25,0.023388367294146107,0.013930315203476373,0.005817422195462782,0.25700568618218805,0.23318432368994974
1951.5,0.02382829479950595,0.014078959696897212,0.005636642691149976,0.2555095385708897,0.23583402681149854
1951.75,0.023839433111643566,0.014161979830569722,0.005433009068419282,0.25569506065230746,0.23827591982046098
1952.0,0.024054007269316304,0.014237001484461742,0.005495680850434173,0.25627023002408583,0.24049780995567976
1952.25,0.024066640130303348,0.01447131477330774,0.005150766278670136,0.2548821156353828,0.2427612812058208
1952.5,0.02420084308434761,0.014450305826040327,0.005401176463686262,0.25553165566693953,0.24464762383727376
1952.75,0.024953584636373455,0.014918601866966232,0.005637707340564443,0.2597867119632911,0.24674481556643355
1953.0,0.025372521318273722,0.01512097113049964,0.005768622365804745,0.26025048468141937,0.24902780706908076
1953.25,0.02552171598355175,0.015176909080886527,0.005815969283902742,0.25947683910451513,0.25139349150082413
1953.5,0.025330689086813022,0.015131287329989317,0.0057286440203003644,0.25728210385867467,0.25376564496275233
1953.75,0.02490059759281084,0.015039065487098274,0.005314368284342806,0.2536657895061736,0.25601825528694344
1954.0,0.02473583509564931,0.015094800322431127,0.005272039695352678,0.25103328272034264,0.25783183506004603
1954.25,0.024716774563083566,0.015227675262843956,0.005210148412643958,0.24754889773288738,0.2595751291424295
1954.5,0.024947972254053728,0.015332823293757156,0.005340834866733453,0.24624016583285452,0.26121750216286027
1954.75,0.025384672884057758,0.015564427884156094,0.005501724947047856,0.24805344177080638,0.26294033627823665
