 1929 1930 1931 1932 1933 1934 1935 1936 1937 1938 1939 1940 1941 1942 1943 1944 1945 1946 1947 1948 1949 1950 1951 1952 1953 1954 1955 1956 1957 1958 1959 1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983 1984 1985 1986 1987 1988 1989 1990 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000
 7.1 7.2 6.9 6.8 7.1 7.8 8.2 8.7 9.2 9.2 9.4 10.1 11.4 11.9 12.8 14.2 15.6 17.2 18.6 20.3 21.5 23.5 25.3 27.8 29.8 29.7 32.3 35.1 37.6 38.7 41.9 45.5 48.1 51.7 54.7 58.8 62.7 65.4 70.4 79 86.6 94.3 103.6 111.4 121 129.3 140 151.6 165.5 177.8 188.7 212 249.3 256.7 280.3 309.1 329.4 346.8 369.3 392.6 420.7 447.3 482.3 510.6 540.1 575.3 594.6 620 646.2 681.3 713.1 762.7
 1.2 1 0.9 0.9 1.6 2.2 2.2 2.3 2.4 2.3 2.4 2.7 3.6 4.1 5 6.3 7.2 7.9 7.9 8.1 8.2 8.9 9.4 10.4 11 9.8 10.7 11.3 11.9 11.6 12.6 13.5 13.7 14.7 15.4 16.3 16.6 15.7 16.5 18.2 19.2 19.5 20.5 20.1 21.5 22.1 24.2 23.8 25.6 28.9 30.1 39.7 57.3 49.9 53.5 57.6 57.5 53.7 56.8 58.9 62.3 63.9 78.5 81.3 85.3 95.2 93 95.1 93.7 97.4 100.6 111.2
 0.6 0.5 0.5 0.6 1.2 1.8 1.7 1.7 1.8 1.7 1.8 2.1 2.8 3.4 4.1 5.2 6.2 7.2 7.2 7.4 7.5 8.2 8.6 9.6 10.2 9 9.8 10.3 10.8 10.4 11.2 12 12.2 13 13.5 14.2 13.9 12.6 13.3 14.7 15.5 15.7 16 15.6 16.7 16.5 16.4 17 17.5 18.5 18.5 26.9 41.7 33 35.9 35.6 33.7 30.7 30.3 32.5 33.3 33.7 44.9 45.2 46.4 55.2 57.8 55.7 57.8 61.3 64.6 69.8
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.9 2.4 2.4 2.5 2.6 2.7 2.8 2.9 3 3.2 3.3 3.5 3.7 3.9 4.1 4 4.1 4.3 4.4 4.5 4.4 4.1 4.1 4.1 7.9 8.9 8.9 9.2 9 9.8 9.5 10 15.2 15.5 16 21.3 21.2 22.3 22.1 23.4 23.4 23.8
 0 0 0 0 0.1 0.4 0.5 0.6 0.6 0.6 0.6 0.7 0.9 1.2 1.5 2.1 2.3 2.6 2.3 2.1 2.2 2.4 2.4 2.7 2.8 2.6 2.8 3 2.8 2.9 3 3.1 3.2 3.3 3.4 3.6 3.7 3.9 4.1 4.3 4.6 4.7 4.9 5 5.1 5.3 5.3 5.3 5.3 5.6 5.6 5.5 5.6 5.4 5.5 5.2 5.1 5.6 5.7 5.7 5.6 5.7 7.4 7.6 7.5 7 7.4 7.4 7.3 7.4 7.7 7.9
 0.4 0.4 0.4 0.4 0.4 0.5 0.5 0.5 0.6 0.6 0.6 0.6 0.7 0.9 1 0.9 1 1.2 1.3 1.3 1.3 1.3 1.4 1.7 1.6 1.5 1.6 1.6 1.7 1.8 1.9 1.9 2 2 2.1 2.1 2.1 2.1 2.1 2.1 2.1 2.2 2.2 2.2 2.4 2.3 2.4 2.5 2.4 2.5 2.5 2.5 2.6 2.5 5 4.6 4.5 4.6 4.6 4.4 4.3 4.2 5 5.4 5.7 5.8 5.9 5.8 5.9 5.4 5.7 7.5
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.4 0.5 0.5 0.5 0.5 0.6 0.6 1.2 1.9 2.6 2.6 2.7 4.1 3.2 3.3 4.3 4.2 4.1 7.1 6.6 7.8 7.4 7.7 8.3 8.6
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 1 1.2 1.4 1.5 1.1 1.4 2.1 2.3 2.4 2.6 2.6 3.1 3.2 3.5 4.7 4.8 5 5.5 5.7 2.5 6.5 8.3 8.8 10
  NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN  9.3 24.3 15.7 9.9 8.3 5.2 0.4  NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN 
 0.1 0.1 0.1 0.2 0.7 0.9 0.8 0.6 0.6 0.6 0.6 0.7 1.1 1.3 1.6 2.2 2.8 3.3 3.7 4 4 4.5 4.8 5.2 5.8 4.8 5.4 5.6 6.2 5.7 4.4 4.6 4.5 5.1 5.4 5.8 5.3 3.8 4.1 5.1 5.5 5.3 5.3 4.5 5 5 4.6 3.7 3.9 4.2 4.2 3.4 3.5 3.3 4.2 4.3 4.9 5.7 5.6 5.4 7.6 6.9 8.2 7.7 8.1 8.5 11.2 9.9 8.6 9.1 10.8 12.1
