 1939 130880 131028 130683  95283
 1940 131954 132122 131658  96732
 1941 133121 133402 131595  98036
 1942 133920 134860 130942  99328
 1943 134245 136739 127499 100630
 1944 132885 138397 126708 101924
 1945 132481 139928 127573 103042
 1946 140054 141389 138385 104042
 1947 143446 144126 142566 105252
 1948 146093 146631 145168 106503
 1949 148665 149188 147578 107729
 1950 151235 151684 150203 108753
 1951 153310 154287 151009 109878
 1952 155687 156954 153292 110957
 1953 158242 159565 155975 111922
 1954 161164 162391 159059 113088
 1955 164308 165275 162311 114276
 1956 167306 168221 165373 115489
 1957 170371 171274 168400 116790
 1958 173320 174141 171485 118108
 1959 177135 177830 175277 120287
 1960 179979 180671 178140 121835
 1961 182992 183691 181143 123404
 1962 185771 186538 183677 124864
 1963 188483 189242 186493 127275
 1964 191141 191889 189141 129427
 1965 193526 194303 191605 131542
 1966 195576 196560 193420 133651
 1967 197457 198712 195264 135905
 1968 199399 200706 197113 138171
 1969 201385 202677 199145 140462
 1970 203810 205052 201722 143070
 1971    NaN 207661    NaN 145826
 1972    NaN 209896    NaN 148592
 1973    NaN 211909    NaN 151476
 1974    NaN 213854    NaN 154378
 1975    NaN 215973    NaN 157344
 1976    NaN 218035    NaN 160319
 1977    NaN 220239    NaN 163377
 1978    NaN 222585    NaN 166422
 1979    NaN 225055    NaN 169440
 1980    NaN 227726    NaN 172437
 1981    NaN 229966    NaN 174929
 1982    NaN 232188    NaN 177176
 1983    NaN 234307    NaN 179234
 1984    NaN 236348    NaN 181192
 1985    NaN 238466    NaN 183174
 1986    NaN 240651    NaN 185284
 1987    NaN 242804    NaN 187419
 1988    NaN 245021    NaN 189233
 1989    NaN 247342    NaN 190862
 1990    NaN 249973    NaN 192520
 1991    NaN 252665    NaN 194293
 1992    NaN 255410    NaN 196063
 1993    NaN 258119    NaN 197993
 1994    NaN 260637    NaN 199853
 1995    NaN 263082    NaN 201799
 1996    NaN 265502    NaN 203966
 1997    NaN 268048    NaN 206210
 1998    NaN 270509    NaN 208456
 1999    NaN 272945    NaN 210687
 2000    NaN 275372    NaN 212831
