 1929 1930 1931 1932 1933 1934 1935 1936 1937 1938 1939 1940 1941 1942 1943 1944 1945 1946 1947 1948 1949 1950 1951 1952 1953 1954 1955 1956 1957 1958 1959 1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983 1984 1985 1986 1987 1988 1989 1990 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000 2001
 822.2 751.5 703.6 611.8 603.3 668.3 728.3 822.5 865.8 835.6 903.5 980.7 1148.8 1360 1583.7 1714.1 1693.3 1505.5 1495.1 1560 1550.9 1686.6 1815.1 1887.3 1973.9 1960.5 2099.5 2141.1 2183.9 2162.8 2319 2376.7 2432 2578.9 2690.4 2846.5 3028.5 3227.5 3308.3 3466.1 3571.4 3578 3697.7 3898.4 4123.4 4099 4084.4 4311.7 4511.8 4760.6 4912.1 4900.9 5021 4919.3 5132.3 5505.2 5717.1 5912.4 6113.3 6368.4 6591.8 6707.9 6676.4 6880 7062.6 7347.7 7543.8 7813.2 8159.5 8508.9 8856.5 9224 9333.8
  NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN  161.6 192.6 215.7 219.2 188.4 165.1 164.6 191.9 236.5 245.6 276.8 279.3 301.3 360.2 309.1
  NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN  144 169.8 192 186.9 161.1 139.1 139.2 175.2 216.2 227.5 268 279.8 304.7 367 309.4
 828.9 757.9 708.8 616.1 606.8 671.4 731.9 825.5 869.9 840 908 984.5 1153.8 1364.8 1588.2 1718.8 1697.1 1511 1502.7 1569 1559.1 1695.6 1826.3 1899.2 1985.1 1972.5 2113 2156 2199.6 2176.3 2332.8 2391.9 2448.8 2598 2710.8 2868.5 3051.7 3248.9 3330.4 3489.8 3594.1 3600.6 3722.9 3925.7 4161 4142.3 4117.7 4351.4 4556.6 4805.3 4973.9 4962.3 5075.4 4973.6 5184.9 5553.8 5750.9 5932.5 6130.8 6391.1 6615.5 6740 6703.4 6905.8 7087.8 7364.3 7564 7831.2 8168.1 8508.4 8853 9216.4 9333.6
 76.8 79 78.9 77.7 74.6 73.8 73.4 74.5 76.9 79.1 79.5 81.7 87.5 99 115.9 136.2 149.5 150.8 145.1 143.7 144.8 147.5 153 160.5 168.9 176.7 183.8 190.4 196.5 200.7 205.3 212.1 218.2 225.6 234.2 243.6 255.5 270.2 284.9 299.3 314.3 327.4 339.1 356.1 369.3 385.3 398.7 411.9 428.3 448.9 474.5 496 516.7 537.7 557.6 583.1 618.2 647.6 675.6 702.9 740.1 759.7 786 825.6 839.6 890.4 912.3 956.2 1011.6 1081 1162.3 1238.9 1365.2
 74.2 76.1 75.6 73.9 70.3 69.1 68.1 68.7 70.7 72.4 72.1 73.6 76.9 78 75.4 74.2 75.5 80.2 84.9 91.8 98 104 109.7 113.6 118.2 122.9 128.5 134.1 139 142.3 145.1 149.8 153.8 158.7 164.7 171.9 181.8 194 205.4 216.7 229.4 241.1 252.5 269.8 283.2 299 311.5 323.7 339 358.1 381.7 400.8 418.7 436.9 453.4 474.2 503.1 525.7 547 568.2 599.1 612.6 633.2 667.9 677.7 724.3 742.6 781.9 831.8 894.7 967.9 1036.2 1153
 7.3 7.7 8.1 8.5 8.7 9 9.4 9.9 10.4 11 11.7 12.3 15 24.8 43.6 65.2 77.7 74.1 62.9 54 48.1 44.3 44 47.7 51.9 55.1 56.5 57.5 58.5 59.5 61.4 63.6 65.6 68.3 70.9 73.1 75 77.4 80.7 83.7 85.8 87.1 87.2 86.8 86.7 86.9 87.8 88.9 89.8 91.2 93 95.4 98 100.7 104.2 108.9 115 121.8 128.7 134.8 141.1 147.3 153 157.9 162 166.2 169.7 174.3 179.8 186.4 194.7 203.1 213.1
  NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN  110.6 116.1 121.5 127.1 132.1 136 139.3 142.3 145.4 149.2 153.9 159.6 166.6 173.9 181
  NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN  18 18.7 19.6 20.2 21 21.8 22.7 23.9 24.2 25 25.9 26.9 28.1 29.2 32.1
 753.4 680.4 631.4 539.6 533.5 599.4 660.9 754.1 796.5 763.6 832.4 907.8 1073.3 1274.8 1482.8 1592.4 1555.8 1366.3 1364.1 1433.2 1421.9 1558.2 1685.2 1750.7 1828.6 1806.4 1941.6 1977.5 2014.8 1985.4 2140.5 2192.7 2243.7 2387.6 2492.6 2642.8 2815.9 3000.1 3065.9 3211.6 3300.6 3291.9 3403.1 3590.1 3814.8 3776.8 3735.4 3959 4149.4 4379.3 4520.8 4481.8 4572.3 4441.1 4633.2 4979.9 5139.9 5290.8 5460.3 5693.7 5879.5 5984.1 5918.6 6080.5 6248.9 6474 6651.9 6875 7156.7 7428.3 7693.6 7982.5 7982.8
