  1987 1988 1989 1990 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000
 186340 191384 196947 198658 194379 195773 199053 204497 209918 212892 219137 225823 230254 234972
 186477 191540 197120 198829 194550 195956 200002 205644 211074 213881 220201 226867 231281 236014
 155059 159513 164443 165629 161507 162679 166897 172560 177870 180738 187133 193490 197710 201816
 3297 3478 3379 3471 3455 3334 3377 3493 3630 3655 3811 3764 3917 3916
 1980 2072 1895 1930 1915 1799 1767 1757 1820 1741 1832 1647 1714 1638
 1317 1406 1484 1541 1540 1535 1610 1736 1810 1914 1979 2117 2203 2278
 1495 1480 1471 1557 1509 1368 1336 1312 1298 1301 1336 1279 1155 1150
 9709 10209 10435 10357 9446 9133 9505 10191 10587 11063 11739 12335 13221 13830
 36814 37749 37867 37086 35577 35270 35620 36364 36524 36436 37037 37095 36821 36539
 21693 22394 22357 21661 20481 20115 20362 20973 21261 21462 22052 22336 22192 22148
 15121 15355 15510 15425 15096 15155 15258 15391 15263 14974 14985 14759 14629 14391
 10084 10067 10408 10680 10475 10492 10870 11405 11839 12030 12285 12587 13073 13430
 5968 6044 6317 6524 6347 6405 6730 7259 7622 7856 8003 8290 8482 8657
 2357 2308 2279 2350 2297 2246 2298 2351 2430 2462 2573 2617 2884 3103
 1759 1715 1812 1806 1831 1841 1842 1795 1787 1712 1709 1680 1707 1670
 10993 11482 11823 11607 11246 11421 11052 11557 12133 12055 12423 12968 12937 13201
 28467 29177 30282 29835 29233 29597 30290 31632 32569 32937 33825 33956 35170 35829
 11573 11541 11656 11649 11503 11506 11760 11952 11917 12066 12715 13125 13519 13612
 42627 44330 47122 49387 49063 50558 53087 54654 57373 59195 61962 66381 67897 70309
 31418 32027 32677 33200 33043 33277 33105 33084 33204 33143 33068 33377 33571 34198
 28128 28676 29277 29786 29658 29934 29770 29690 29765 29728 29669 29957 30146 30783
 3290 3351 3400 3414 3385 3343 3335 3394 3439 3415 3399 3420 3425 3415
 -137 -156 -173 -171 -171 -183 -949 -1147 -1156 -989 -1064 -1044 -1027 -1042
