 1901 1902 1903 1904 1905 1906 1907 1908 1909 1910 1911 1912 1913 1914 1915 1916 1917 1918 1919 1920 1921 1922 1923 1924 1925 1926 1927 1928 1929 1930 1931 1932 1933 1934 1935 1936 1937 1938 1939 1940 1941 1942 1943 1944 1945 1946 1947 1948 1949 1950 1951 1952 1953 1954 1955 1956 1957 1958 1959 1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983 1984 1985 1986 1987 1988 1989 1990 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000
 44 65 87 108 102 100 129 133 138 154 177 173 180 209 302 314 320 296 429 656 853 876 805 987 1082 1067 1222 1289 1316 1556 1391 989 874 1024 870 1388 1254 1452 1431 1369 1111 756 464 377 423 787 1370 1701 2084 2222 2445 2759 3129 3829 4056 4637 5163 5798 6063 5724 6170 6715 7453 7512 8023 8987 9185 9886 9788 10544 11257 10979 10989 12550 13546 12724 12798 14548 17514 18605 18787 17745 18536 22235 24479 26190 28023 30125 29784 33207 33492 33581 35385 38478 38695 40984 45618 48755 54704 55486
 14 14 16 19 22 21 17 18 22 22 23 22 15 15 17 21 586 1499 1038 161 49 25 16 9 8 11 12 15 24 37 51 43 45 60 48 73 89 118 154 465 2076 6464 3258 1059 856 82 149 186 177 223 1023 1568 1514 1206 1449 1635 1600 1735 1690 1551 1593 1451 1281 1018 906 1049 1007 982 1133 991 1264 1161 1439 1443 1672 1558 1713 1775 1754 2139 1961 2346 2788 2967 3604 4252 5000 4857 3960 3479 2356 3179 3177 3751 4353 4717 3871 3484 3456 3409
 14 13 13 17 19 22 26 29 32 31 30 32 35 40 36 28 27 29 39 55 52 48 65 79 74 66 73 92 117 138 157 151 358 501 683 641 591 543 595 525 449 310 258 245 215 255 402 651 852 917 824 855 699 748 951 922 956 991 1131 1152 1291 1474 1700 1758 2056 2224 2120 1865 1640 1681 1696 1944 2188 2524 2856 2800 2817 3084 3353 3919 4977 4939 4517 4517 4432 4534 4731 4397 5099 5045 5053 4919 4629 5688 7917 13492 5838 5789 6423 6819
 19 17 23 22 23 24 29 35 32 35 39 38 41 42 52 46 45 38 53 67 78 88 90 108 133 145 174 183 127 142 114 69 45 102 101 230 209 235 243 184 118 76 37 26 37 97 185 300 353 383 425 432 520 568 615 701 781 836 906 882 914 1072 947 1325 1195 1300 1058 1551 1344 1544 1829 2002 2429 3384 3748 4243 4033 5136 5561 6644 5886 5574 5007 5903 6049 6815 8107 8519 8497 9059 9172 9588 8958 8141 8160 8649 9094 7623 8323 8343
 22 19 26 25 26 28 33 40 37 40 45 43 46 48 54 49 46 56 71 86 100 113 113 155 145 140 138 117 130 204 159 90 52 73 76 114 104 123 132 160 138 95 71 54 62 99 165 238 270 283 357 362 372 424 487 592 582 572 586 624 684 696 895 972 1285 1085 1296 1544 1360 1115 1016 1103 1099 1415 1992 1931 1710 2256 2573 3268 3126 3266 2860 3481 4028 4766 5420 5436 5628 6290 6516 5802 5234 5484 5330 6149 7017 7173 8029 8021
 15 13 17 17 18 19 23 29 25 27 30 29 32 34 41 43 41 37 35 44 45 53 52 69 124 117 204 171 173 172 226 149 81 109 140 388 302 350 322 239 227 143 163 48 51 -9 139 196 220 211 237 213 246 291 278 487 533 663 795 916 969 891 1089 1267 1459 1464 1879 2080 2220 2257 2062 2314 2597 3405 3148 4105 4606 5907 6505 7162 8500 8009 7679 7023 7758 7968 7831 7682 7874 8982 9683 10039 11126 11273 11613 11270 12455 12168 13181 13991
                                                                                                          
  NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN  83 90 84 1529 4328 1416 336 162 139 136 122 113 111 123 155 189 260 337 382 598 875 1158 1214 1212 1216 1146 1612 8509 26964 38181 36029 23392 1906 1735 2981 4356 3913 10571 14946 15890 13293 11194 11743 11842 12921 15389 14319 16184 17366 16128 15643 14751 17271 18468 16883 15992 15781 13489 15446 16069 17584 20454 21834 23863 26261 30237 34771 41460 47222 55647 63649 73380 79513 84856 78948 82390 87883 87849 87439 83304 80719 83834 93538 81520 86094 94287 96485
  NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN  30 34 31 1463 4266 1335 236 64 50 32 19 25 31 39 48 36 60 84 67 89 113 103 259 324 318 325 803 7199 26005 37362 35436 22667 1515 949 1956 2928 2358 9136 13430 14703 12108 10079 10487 10483 11323 13707 12349 13856 14522 12641 11466 10053 12338 14317 13181 12515 12259 9704 11152 11314 12256 14451 15297 16738 17803 21397 24290 28934 34747 41871 48690 57506 62919 66415 61278 62698 65918 63414 61556 55742 54046 53137 54634 48416 49404 52737 53483
  NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN  15 17 10 877 2767 297 75 15 25 16 10 17 20 27 33 12 23 33 24 42 41 42 80 92 115 151 201 3631 15739 31537 32952 20995 1227 792 1588 2561 1906 7117 10146 11377 9379 7958 8357 8196 8708 11171 10115 11498 12532 11001 10190 8915 11078 13122 11938 11024 10938 7877 9363 9202 10079 12131 13152 14360 15294 18876 21113 25724 30793 37108 43756 51287 56145 58758 53921 56340 59828 58781 56336 50669 48302 46854 47938 42698 43996 47413 48155
  NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN  2524 2205 1911 3527 3374 3710 3673 4823 6106 7413 8381 10054 10875 13374 17892 17535 13505 12167 11743 9203 8317 9330 10448 8988 9142 5851 5633 6927 7721
  NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN  1532 1331 1678 1260 1393 1209 1070 1765 2261 2752 3440 4577 5733 6609 7894 8738 7846 8836 11151 10832 10554 7909 5735 4699 4065 2862 3279 2805 2561
  NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN  1799 1615 2191 2169 2362 3070 3867 4274 4140 5121 6217 7135 8044 8986 8880 8805 8617 9980 10803 10202 10083 8665 8054 8001 6776 6109 6429 6751 6583
  NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN  413 315 313 275 480 642 842 915 1168 1076 2069 3449 4161 3747 3818 4308 3704 3144 3185 3440 2789 1850 1032 1089 1198 1383 1486 1629 1791
  NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN  816 922 983 1200 1282 1472 1795 2070 2607 3247 3808 4586 5629 7040 7776 8706 9170 9553 9855 9671 9821 10390 10349 10494 11566 12442 13350 14620 15068
  NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN  2279 2814 3003 3700 4261 4257 4047 5029 4831 6115 6878 7307 9314 11531 9885 10666 11079 12660 13091 15433 14772 12525 12684 13583 15191 14051 13819 14681 14431
 14 14 16 19 22 21 17 18 22 22 23 22 15 15 17 21 586 1499 1038 161 49 25 16 9 8 11 12 15 24 37 51 43 47 72 61 179 232 203 174 602 3568 10266 5825 2484 1672 288 157 368 367 452 2019 3284 3326 2729 2121 2130 2287 2615 2536 2234 2358 1990 1640 1276 1138 1260 1195 1243 1491 1321 1827 1789 2112 2177 2320 2145 2378 2509 2521 3177 3210 3954 4763 4934 6219 6774 7657 7357 6358 6090 4633 5220 5073 5744 6283 6696 5718 5408 5324 5328
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 12 13 106 143 86 21 137 1492 3803 2567 1425 816 207 9 182 191 229 996 1716 1812 1524 672 495 688 880 846 684 765 540 359 258 233 211 189 261 358 330 563 629 673 735 648 587 665 735 767 1039 1249 1609 1975 1968 2615 2522 2657 2500 2399 2611 2277 2042 1896 1993 1930 1979 1847 1924 1868 1919
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 9 64 98 34 4 4 226 381 729 213 84 253 14 41 39 21 23 33 42 24 23 42 180 379 502 299 300 209 143 113 158 105 57 77 161 110 139 344 368 489 626 567 494 519 463 674 734 944 1194 1158 1512 1557 1852 1731 1691 1803 1190 1110 1182 1377 1361 1367 1392 1363 1322 1250
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 11 4 42 45 52 17 133 1266 3422 1838 1212 732 -47 -6 141 152 208 973 1683 1770 1500 649 453 508 501 344 385 465 331 216 145 75 106 132 184 197 220 424 285 305 246 22 20 171 216 304 365 515 665 781 810 1103 965 805 769 708 808 1087 932 714 616 569 612 455 561 546 669
 14 14 16 19 22 21 17 18 22 22 23 22 15 15 17 21 586 1499 1038 161 49 25 16 9 8 11 12 15 24 37 51 43 45 60 48 73 89 118 154 465 2076 6464 3258 1059 856 82 149 186 177 223 1023 1568 1514 1206 1449 1635 1600 1735 1690 1551 1593 1451 1281 1018 906 1049 1007 982 1133 991 1264 1161 1439 1443 1672 1558 1713 1775 1754 2139 1961 2346 2788 2967 3604 4252 5000 4857 3960 3479 2356 3179 3177 3751 4353 4717 3871 3484 3456 3409
  NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN  53 56 53 66 62 81 100 98 89 104 103 88 80 84 107 153 200 253 315 509 762 1055 955 888 898 821 809 1310 959 819 593 725 391 786 1025 1428 1555 1435 1516 1187 1185 1115 1256 1359 1598 1682 1970 2328 2844 3487 4177 4698 4933 4151 3702 3477 3522 3785 4294 4755 5328 6003 6537 7125 8458 8840 10481 12526 12475 13776 14959 15874 16594 18441 17670 19692 21965 24435 25883 27562 26673 30697 38904 33104 36690 41550 43002
  NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN  8 7 13 27 22 12 16 14 4 4 8 12 15 19 21 15 32 212 302 195 174 218 201 244 752 557 444 321 480 400 482 364 338 403 413 465 324 307 247 263 247 222 192 331 554 776 1165 1623 1907 2074 1944 1732 1730 1698 1731 1822 1787 2154 2408 2675 2981 3650 3990 4918 5267 5957 7795 8651 9568 9490 10386 11720 13382 14606 15668 16917 17679 16830 18372 20536 23261 25485 30147 32210
 24 23 23 30 34 37 40 44 49 51 44 47 49 53 56 53 58 55 68 73 76 77 88 89 84 76 76 95 138 181 232 300 477 550 753 760 714 680 620 565 558 402 375 272 245 -9 304 661 1090 1152 1022 1051 863 878 868 993 1112 1376 1490 1639 1774 2068 2322 2554 2791 2859 2207 1970 1747 1824 2054 2472 2968 3174 3595 3862 4144 4808 4850 5563 7259 6518 5981 6308 6306 7104 8055 5950 6310 7359 8767 8966 9883 9843 12325 18368 9843 11205 11403 10792
 10 10 10 13 15 15 14 15 17 20 14 15 14 13 19 24 30 24 25 13 20 23 14 0 0 3 0 2 26 43 65 133 92 53 60 123 137 126 49 28 59 42 -4 18 23 -169 -42 44 252 254 208 186 156 127 -14 130 173 322 361 412 445 549 699 920 1011 857 416 438 427 366 438 511 724 776 1001 1265 1397 1668 1703 2092 2364 1934 2087 2461 2653 3161 3693 2366 2312 3267 4144 4455 4758 3537 4211 4594 4364 5132 4854 4181
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 53 70 102 68 62 72 77 65 73 96 115 100 93 122 181 277 395 458 607 666 764 997 1076 901 955 940 776 550 497 540 488 547 674 881 935 782 852 683 443 314 280 377
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 2 4 3 2 2 2 2 2 2 2 2 2 2 4 5 5 58 3 0 0 2 18 9 9 6 8 8 11 11 20 28 29 26 24 14 13 22 14 11 14 19 25 58 47 16 6 10 22 40 39 30 22 18 11 10 14 4 4 8 11 20 29 21 21 26 12 18 15 15 30
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 4 7 5 3 3 4 4 4 3 4 4 4 4 5 10 10 30 98 169 146 132 113 66 35 22 37 45 35 58 56 55 55 66 71 93 80 33 45 52 72 100 90 75 90 169 206 259 296 287 340 442 409 391 461 496 541 642 619 568 645 564 576 717 661 766 896 1043 785 657 374
10 10 10 13 15 15 14 15 17 20 14 15 14 13 19 24 30 24 25 13 20 23 14 0 0 3 0 2 24 40 59 122 84 48 55 117 131 120 44 22 53 36 -10 9 8 -184 -130 -57 83 108 74 55 81 83 -42 85 120 276 239 266 260 397 545 753 827 699 288 283 249 180 226 274 410 362 421 595 521 684 612 716 816 602 723 1049 1371 2056 2550 1203 1248 2064 2886 2969 3085 2073 2567 3003 2860 4018 3902 3400
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 4 3 4 7 9 10 10 10 11 11 17 22 21 44 61 64 53 42 37 35 30 26 17 7 7 11 21 34 39 57 45 41 50 63 65 70 77 100 113 94 136 134 160 183 173 169 248 244 233 213 253 288 299 268 257 307 339 396 421 528 456 752 518 468 516 469 402 405 431 234 233 238 219 326 428 308 368 255 257 251 298
 14 13 13 17 19 22 26 29 32 31 30 32 35 40 36 28 27 29 39 55 52 48 65 79 73 61 63 72 88 112 136 140 337 428 620 552 496 476 520 492 437 303 258 245 215 235 372 610 793 856 766 809 638 680 850 772 802 856 981 980 1103 1245 1341 1396 1541 1692 1487 1248 1043 1133 1239 1523 1814 2018 2158 2118 2232 2531 2511 2760 3937 3853 3246 3096 2807 2773 2986 2707 3125 3020 3198 3201 2859 3734 5675 11073 3478 3526 3863 4030
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 2 2 1 1 2 3 10 13 9 9 6 4 8 9 32 39 41 16 15 36 40 114 2 -4 -96 -60 -32 -12 -3 7 6 6 6 -38 14 37 85 54 111 92 114 99 65 70 62 60 51 64 72 89 139 162 123 129 140 119 188 108 255 206 213 180 235 377 768 971 446 639 839 1187 1091 1940 2144 2131 2333 1746 2290 2435 2283
                                                                                                          
  NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN  537 696 683 658 635 815 1120 1442 1639 1602 1943 2213 2221 2533 2593 2642 2909 2651 1768 1330 1769 1603 2902 2565 2971 3373 2758 2236 1536 869 699 807 1580 2838 4018 5340 5860 6966 7321 7909 9193 10033 11258 12518 13530 13921 13924 15048 15869 17514 18989 20847 23118 25309 27668 28301 28749 30063 30642 33217 39636 43589 43838 42789 49479 56834 63972 64956 64827 66448 74976 84384 92810 98449 106304 114709 127237 132052 134333 136245 144235 155842 163831 183284 191003 210138 221769
  NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN  26 48 41 33 31 1 0 0 55 88 153 174 164 212 210 229 194 204 188 154 145 144 139 197 215 242 202 162 136 98 96 99 175 311 429 453 475 547 594 631 714 759 891 1060 1048 1082 1222 1262 1345 1545 1757 1894 2125 2267 2448 2722 2960 3110 3536 4080 4896 5453 5690 5878 6633 7794 8914 9535 10582 12226 14440 16831 18603 19628 21511 25982 28698 28872 30109 31744 35494 38550 41341 43958 48604 52883 56793
 182 184 248 264 265 273 338 386 366 404 456 442 470 511 648 642 625 604 814 1120 1442 1584 1514 1790 2039 2057 2321 2383 2413 2715 2447 1580 1176 1624 1459 2763 2368 2756 3131 2556 2074 1400 771 603 708 1405 2527 3589 4887 5385 6419 6727 7278 8479 9274 10367 11458 12482 12839 12702 13786 14524 15969 17232 18953 20993 23042 25220 25579 25789 26953 27106 29137 34740 38136 38148 36911 42846 49040 55058 55421 54245 54222 60536 67553 74207 78821 84793 88727 98539 103180 104224 104501 108741 117292 122490 139326 142399 157255 164976
 82 70 95 92 96 102 124 149 134 148 165 159 171 178 200 191 174 179 230 272 370 460 463 481 565 595 586 624 661 640 567 299 151 312 283 639 484 607 979 616 529 379 156 107 143 337 610 1120 1945 2267 2944 2971 3019 3369 3770 3890 4383 4676 4487 4631 5087 5195 5508 6032 6715 7935 9295 9826 10547 10106 10709 10725 12079 13860 15440 14942 13694 15055 16681 18931 19040 19296 19517 21224 24460 27877 29071 32218 35843 40048 43887 44806 44294 45983 53691 55720 64783 66964 73144 78927
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 5 4 4 3 3 3 3 3 7 67 204 220 185 47 10 3 129 198 126 331 340 591 651 550 348 288 300 378 519 508 502 646 847 498 573 582 708 847 860 1077 1202 1227 939 1020 973 1190 1080 1303 1298 1680 2030 2496 2377 2649 2604 2840 2937 3058 3141 3236 3652 3861 4245 3996 3627 4352 3663 3852 3638 3948 4084
 61 52 71 69 72 76 92 111 100 110 123 118 128 133 148 141 129 133 170 190 274 342 346 353 400 399 367 378 393 367 286 129 51 148 153 366 254 312 471 160 160 128 63 38 56 98 232 619 940 1141 1519 1609 1715 2136 2455 2569 2838 2887 2673 2825 3057 2995 3493 3820 4333 5380 6023 6107 5914 5659 5604 5752 6662 7349 7544 7051 6093 6607 7228 7952 7430 7113 6952 7941 9209 10611 10864 13071 14944 16327 19396 20570 19436 20710 26146 27559 33351 34798 39029 43661
 10 8 11 11 11 12 15 18 16 18 20 19 20 21 24 23 21 21 28 33 40 60 55 60 61 68 80 108 101 117 107 77 45 49 36 71 70 94 125 52 39 32 40 53 76 76 48 116 291 355 397 384 305 301 283 268 314 361 377 352 320 346 339 370 407 388 546 636 719 718 840 858 857 1088 1503 1725 1585 1533 1713 1977 1890 1935 1752 1737 1780 1887 2079 2098 2188 2504 2762 3132 3261 3053 3158 3298 3085 3283 3280 3350
11 10 13 12 13 14 17 20 18 20 22 22 23 24 28 27 24 25 32 49 56 58 62 68 104 128 139 138 161 151 170 90 52 113 91 199 157 195 316 200 110 35 6 5 8 34 134 260 384 430 437 328 449 584 745 754 852 908 929 952 1064 1007 1178 1269 1393 1459 1879 2223 2837 2527 3038 3176 3540 4450 5203 5086 4713 5617 6060 6972 7224 7871 8164 8942 10631 12442 13070 13908 15475 17565 17868 16859 17601 18593 20035 21200 24495 25245 26887 27832
 44 65 87 108 102 100 129 133 138 154 177 173 180 209 302 314 320 295 426 652 850 872 798 978 1072 1057 1212 1278 1305 1539 1369 968 830 963 806 1335 1212 1415 1396 1339 1085 739 457 370 412 766 1336 1662 2027 2177 2404 2709 3066 3764 3986 4560 5063 5685 5969 5588 6036 6555 7270 7339 7854 8739 8941 9653 9575 10291 10969 10680 10721 12293 13239 12385 12402 14127 16986 18149 18035 17227 18068 21719 24010 25788 27618 29694 29550 32974 33254 33362 35059 38050 38387 40616 45363 48498 54453 55188
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 5 10 20 29 26 21 11 21 73 63 89 95 67 75 33 12 7 0 0 0 20 30 41 59 61 58 46 61 68 101 150 154 135 150 172 188 229 359 362 515 532 633 617 597 548 457 421 374 506 698 682 585 553 842 1159 1040 1086 1271 1421 1625 1761 1745 1690 1974 2025 1855 1718 1770 1954 2242 2419 2360 2263 2560 2789
