 1901 1902 1903 1904 1905 1906 1907 1908 1909 1910 1911 1912 1913 1914 1915 1916 1917 1918 1919 1920 1921 1922 1923 1924 1925 1926 1927 1928 1929 1930 1931 1932 1933 1934 1935 1936 1937 1938 1939 1940 1941 1942 1943 1944 1945 1946 1947 1948 1949 1950 1951 1952 1953 1954 1955 1956 1957 1958 1959 1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983 1984 1985 1986 1987 1988 1989 1990 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000
  NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN  41 65 51 918 2805 311 102 37 92 120 177 195 188 247 255 256 236 258 227 228 398 488 414 463 548 594 647 4545 16432 32079 33369 21574 1802 1585 2381 3352 2784 8077 11205 12332 10400 8964 9511 9503 9978 12445 11668 13314 14653 13711 13570 12716 15277 17333 16118 15476 15596 12718 14721 15069 17129 19992 21517 23219 25577 30660 34945 40526 47332 57129 66847 77686 84238 88772 87152 95704 103132 103321 103362 100092 100626 103776 109815 109917 118085 130443 137158
 220 221 287 313 321 331 395 448 437 477 523 511 534 579 721 716 1269 2158 1920 1354 1567 1686 1618 1888 2131 2144 2409 2493 2569 2928 2726 1919 1697 2242 2261 3635 3213 3598 3854 3515 5754 11502 6195 3136 2538 1302 2776 4451 5974 6628 8846 10378 10875 11714 11952 13148 14299 15575 15855 15774 16972 17526 19290 20376 22142 24299 25540 27496 27579 27622 29468 30084 32829 38629 42235 42508 41636 48346 54268 61094 62660 61396 61123 68016 75726 83591 89623 93228 96468 106533 111529 113055 114279 119324 130187 142524 149643 154011 168712 175762
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 5 4 4 3 4 12 67 101 41 71 208 446 566 776 223 87 382 212 167 370 361 614 684 592 372 311 342 558 898 1010 801 946 1056 641 686 740 813 904 937 1238 1312 1366 1283 1388 1462 1816 1647 1797 1817 2143 2704 3230 3321 3843 3762 4352 4494 4910 4872 4927 5455 5051 5355 5178 5004 5713 5030 5244 5001 5270 5334
 462 513 1224 1214 1512 1736 1752 1376 1662 1762 1834 2015 2140 1925 1904 2481 2963 3930 5534 6628 6009 5587 7148 7282 7938 8451 8214 8525 9407 7557 5815 4194 4131 4449 5076 6021 6687 5535 6682 7853 9669 6382 6026 6153 7303 14201 18626 21493 23997 28591 29256 29652 31906 32075 36721 36801 39862 38855 41139 42037 40772 46428 50429 53815 60943 63929 67938 80026 81208 82649 94024 104913 117654 120413 129352 149241 170510 194146 208131 207060 226482 233687 269784 314346 355881 397954 422107 436958 471216 463206 441545 485761 533922 557974 593250 599432 651467 712445 756460 820167
                                                                                                          
  NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN  5250 5269 6800 9136 12415 10858 11502 9920 11847 15079 15327 16966 17865 17358 17147 17168 13715 9720 5651 4820 6572 7791 10870 12534 11444 13142 14902 23416 37044 45939 45514 36576 28142 39034 48753 48677 57525 67108 71960 77079 76720 83267 89020 92255 89199 101839 101717 104206 112856 118943 129394 141694 153859 158575 173534 188053 190484 208901 240780 274188 289237 297076 335622 400176 479554 552930 574230 637017 629263 678677 794225 862003 901318 926423 972288 1028786 1052909 1014418 1063408 1144846 1245008 1331136 1455191 1570055 1712703 1851043 2006600
  NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN  3859 3772 5162 7943 11632 9028 9835 7657 8337 10473 10065 11285 12132 11997 12153 13217 11356 7936 4880 4201 5629 6470 9063 10351 9252 9997 11106 18796 34189 43670 43892 34761 19807 26590 32726 33428 36438 47876 52542 56968 55168 57922 65088 69516 65953 72721 74631 76858 82823 86165 94434 106737 120759 125314 133877 144194 147807 151771 169833 197454 221813 232530 251492 288082 346119 409756 448278 511149 520262 522294 610668 670709 678702 693939 733658 786531 825410 815721 828076 882696 949749 1042855 1135142 1236555 1343342 1442265 1576235
  NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN  1456 1550 2395 4362 7189 4339 4313 3177 3382 4788 3956 4635 4703 4313 4501 5161 3969 2577 1556 1399 2140 2762 3539 4459 3513 3877 5005 9935 20508 35757 38452 28954 11932 16393 18949 18386 19837 27168 30087 32698 29689 30926 33883 36398 32999 38817 39469 40295 44742 46033 50693 56821 66161 69179 73785 79874 81209 81027 93882 111286 124492 130620 146018 175179 210566 245922 259011 290985 291486 315261 371120 401708 421036 429531 460071 499724 515033 524687 549797 591982 648935 710048 766171 829668 906618 990135 1088890
 1496 1865 2077 1921 1916 2173 2405 2228 2475 2816 2755 2856 2847 2403 2222 2767 3581 4443 4689 5522 4480 4955 5685 6109 6650 7429 7684 7652 8056 7387 5359 3324 2802 3489 3708 5524 5892 5739 6120 6101 8861 13681 7913 5440 5807 7875 10196 13777 15041 16601 20708 22455 24270 25480 26996 31204 33118 32954 33904 35162 36563 38081 40132 43741 49916 54598 56135 60092 64320 66598 70744 75951 86168 97321 101910 105475 112903 135554 163834 189267 220163 228776 207033 239548 269001 257666 264408 273587 286807 310376 291034 278278 290714 300814 332807 368971 406887 436724 452130 487346
 837 808 843 946 1425 1460 1315 1323 1580 1333 1304 1435 1420 1391 1497 1638 1193 783 1830 1667 2263 3510 4606 5262 5681 5733 5361 4994 3951 2359 1784 771 619 943 1321 1807 2183 2192 3145 3796 4620 2855 2269 1622 1815 8335 12445 16027 15250 21087 19232 19418 20111 21551 25345 23933 22739 23246 29118 27086 27348 30033 32778 34960 34957 33100 33261 39657 43859 42677 57130 70947 76734 67424 64546 84130 112094 133435 143174 125952 125868 109001 156383 183557 191294 222616 232484 238630 242255 227499 198697 235332 262149 295258 288281 320049 333499 369361 408778 430364
                                                                                                          
  NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN  620 786 767 2187 4963 2231 1456 1604 1778 1738 2065 2326 2332 2656 2748 2831 3169 2988 2150 1928 2644 2761 4116 3777 4187 4519 4370 10745 28500 39050 36728 24199 3486 4573 6999 9696 9773 17537 22267 23799 22486 21227 23001 24360 26451 29310 28243 31232 33235 33642 34632 35598 40389 43777 44551 44293 44530 43552 46088 49287 57220 64043 65672 66652 75740 87072 98743 106417 112049 122096 138624 157764 172322 183305 185253 197099 215119 219901 221771 219549 224954 239676 257369 264804 277097 304425 318254
  NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN  83 90 84 1529 4328 1416 336 162 139 136 122 113 111 123 155 189 260 337 382 598 875 1158 1214 1212 1216 1146 1612 8509 26964 38181 36029 23392 1906 1735 2981 4356 3913 10571 14946 15890 13293 11194 11743 11842 12921 15389 14319 16184 17366 16128 15643 14751 17271 18468 16883 15992 15781 13489 15446 16069 17584 20454 21834 23863 26261 30237 34771 41460 47222 55647 63649 73380 79513 84856 78948 82390 87883 87849 87439 83304 80719 83834 93538 81520 86094 94287 96485
  NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN  537 696 683 658 635 815 1120 1442 1639 1602 1943 2213 2221 2533 2593 2642 2909 2651 1768 1330 1769 1603 2902 2565 2971 3373 2758 2236 1536 869 699 807 1580 2838 4018 5340 5860 6966 7321 7909 9193 10033 11258 12518 13530 13921 13924 15048 15869 17514 18989 20847 23118 25309 27668 28301 28749 30063 30642 33217 39636 43589 43838 42789 49479 56834 63972 64956 64827 66448 74976 84384 92810 98449 106304 114709 127237 132052 134333 136245 144235 155842 163831 183284 191003 210138 221769
