 1929 1930 1931 1932 1933 1934 1935 1936 1937 1938 1939 1940 1941 1942 1943 1944 1945 1946 1947 1948 1949 1950 1951 1952 1953 1954 1955 1956 1957 1958 1959 1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983 1984 1985 1986 1987 1988 1989 1990 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000
 0 0 0 0 0 0 0 0 0 0 0 0 0 0.2 0.6 1 1.7 1.7 0 0.1 0 0 0.2 0 0 0 0.2 0.2 0.2 0.3 0.1 0.1 0.1 0.1 0 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.7 0.1 0.2 0.3 0.3 0.5 0.6 0.5 0.3 0.5 0.6 0.6 0.6 0.9 0.7 0.7 1 0.6 0.6 1.1 1.6 1.8 1.4 1.1 0.9 1.3
 0.6 0.6 0.7 0.6 0.9 1.6 1.2 3.3 2.8 3.3 3.6 3.1 2.2 1.9 1.4 1.9 1.4 3.2 3.5 4.8 6.3 4.8 4.2 5.2 7.1 6.8 7 6.2 6.2 6.8 9.8 8.7 8.9 11.2 12.3 13.9 15 15.8 16.9 18 19.9 21.7 24.4 27.6 29 32.9 37.7 40.1 45.5 50.1 54.7 63.6 71 71.7 77.4 77.1 84.1 89 89.9 88.2 99.1 111 118.1 128.8 133.4 138.6 141.8 142.9 152.7 153.4 157.8 171.8
 0 0 0 0 0 0.1 0.1 0 0 0.1 0 0.1 0.2 0.1 0 -0.1 -0.4 -0.4 -0.2 -0.1 0 0 0 0 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 0 0.1 0.2 0.2 0.2 0.1 -0.1 -0.2 -0.2 -0.2 -0.3 -0.5 -0.5 -0.4 -0.6 -0.7 -0.8 -1 -0.4 -0.2 0.1 0.1 0.1 0 -0.2 -0.2 -0.5 -0.4 -0.1 0 0.3 0.5 1 0.9 1.1 1.2 -0.4 1 1.3
 0 0 0 0 0 0.1 0.1 0 0 0.1 0.1 0.1 0.2 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0 0 0 0 0.1 0.2 0.2 0.4 0.4 0.4 0.4 0.3 0.3 0.2 0.2 0.2 0.2 0.2 0.2 0.3 0.3 0.4 0.5 0.6 0.6 0.6 0.8 0.9 0.9 1 1.1 1.1 1.3 1.5 1.5 1.7 1.6 1.7 1.6 1.8 1.8 1.6 1.4 1.6
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1 0.2 0.5 0.5 0.4 0.2 0.1 0.1 0.1 0.1 0.1 0.2 0.2 0.1 0.1 0.1 0.2 0.2 0.1 0.2 0.2 0.2 0.2 0.2 0.3 0.4 0.5 0.4 0.4 0.6 0.7 0.7 0.6 0.8 1 1.2 1.6 1 0.9 0.5 0.7 0.8 1 1.1 1.3 1.6 1.7 1.6 1.5 1.4 1.1 0.7 0.7 0.7 0.7 2 0.5 0.3
 0.1 0.1 0.1 0 0.1 0.2 0 0.1 0.2 0.2 0.5 0.4 0.3 0.7 -0.2 0.8 0.1 0.3 0.3 0.8 2.1 0.5 0.1 0.4 2.3 2.2 2.4 0.7 0.7 0.6 3.2 1 0.3 1.4 1.1 1 1.1 0.3 1.1 1.8 2.9 1.9 2 2.3 1.8 2.5 2.7 3.3 3.8 3.9 3.9 5.6 9.4 7.3 8.8 5 8.2 11.7 6 -0.9 4.8 4.6 5.2 6.1 6.6 6.6 6.5 6.1 7.9 8.1 5.8 6.9
 0 0 0 0 0 0 0 0 0 0 0.3 0.3 0.2 0.6 -0.4 0.5 -0.4 -0.5 0.1 0.3 1.5 0.3 -0.4 0.2 2 1.9 2 0.2 -0.1 0.3 2.1 0.2 -0.8 0.3 -0.2 -0.4 -0.4 -1.5 -0.9 0.2 0.7 -0.4 -0.3 -0.4 -0.7 -0.5 0.3 0.2 0.4 0 0 1.5 0.9 1.7 2.5 -1.8 2.2 6.4 -0.2 -7.1 -0.8 -1.5 0.2 -0.6 -0.3 -0.5 -0.2 -0.4 -0.1 0.1 -0.2 0.8
 0 0 0 0 0 0 0 0 0 0 0.3 0.3 0.2 0.6 -0.4 0.5 -0.4 -0.5 2.3 2.1 3 2.1 0.9 0.8 2.6 3.3 3.6 3 2.6 2.2 4.7 2.6 1.8 2.7 2.7 2.1 1.6 1.3 1.1 0.9 1.6 1.2 1.3 0.8 0.4 0.6 0.9 0.8 1 1 0.9 2.8 2.6 3.4 8.2 3.7 5.7 11.2 6.4 2.6 3.7 1.5 2.6 1.7 1.6 1.7 0.3 0.2 0.2 0.6 0.9 3.4
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.2 1.8 1.5 1.8 1.3 0.7 0.6 1.4 1.6 2.9 2.7 1.9 2.6 2.5 2.5 2.4 2.9 2.5 2.1 2.9 2 0.8 0.9 1.6 1.6 1.2 1.1 1.1 0.6 0.6 0.6 1 0.9 1.4 1.7 1.8 5.7 5.6 3.5 4.8 6.6 9.7 4.5 3 2.4 2.3 2 2.3 0.6 0.5 0.3 0.5 1.1 2.6
 0.1 0.1 0.1 0 0.1 0.2 0 0.1 0.2 0.2 0.2 0.1 0.1 0.1 0.2 0.2 0.4 0.8 0.2 0.5 0.6 0.3 0.5 0.3 0.3 0.3 0.4 0.6 0.8 0.4 1.1 0.9 1.1 1.1 1.3 1.4 1.5 1.8 2 1.7 2.2 2.3 2.3 2.7 2.5 3 2.4 3.1 3.4 3.8 4 4.1 8.5 5.7 6.3 6.8 5.9 5.3 6.2 6.2 5.6 6.1 5 6.8 6.9 7.2 6.8 6.5 8 8 6 6.1
