  1925 1926 1927 1928 1929 1930 1931 1932 1933 1934 1935 1936 1937 1938 1939 1940 1941 1942 1943 1944 1945 1946 1947 1948 1949 1950 1951 1952 1953 1954 1955 1956 1957 1958 1959 1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983 1984 1985 1986 1987 1988 1989 1990 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000
 1641 1760 1906 2071 2163 2169 1995 1899 2149 2386 2568 2994 3318 3515 3666 3919 4145 4200 4520 4777 4807 5492 6088 7033 7279 8271 8733 9506 10265 10833 11923 13311 14545 15237 14775 15664 16586 17802 19016 20125 21517 23232 24710 27465 30166 34113 40215 44716 49746 62852 69894 77625 86824 99844 115704 131483 138225 147917 154072 165180 169406 177162 185605 198187 207658 214950 220634 238068 253560 268181 277527 289851 298175 310157 319105 326864
 1928 2038 2144 2240 2332 2387 2226 2131 2412 2638 2802 3126 3347 3434 3477 3705 3949 4027 4369 4642 4701 5375 5947 6810 6974 7839 8242 8920 9514 9937 10856 12061 13047 13495 13722 14255 14691 15162 15656 16456 17995 19223 20599 22962 24907 27252 30769 33269 36299 46578 52600 54718 59634 67259 76714 86016 89767 95680 99069 106070 108968 114391 120067 128126 134420 139592 143839 154693 164157 173869 179966 188501 195093 205179 213810 221520
 1475 1529 1702 1895 2018 2054 2076 2188 2891 3169 3090 3687 4030 4186 4290 4537 4945 4833 4421 4420 4879 5439 6402 7152 6595 6920 7795 8217 7928 7701 8176 9298 9649 10172 10552 11089 11752 12531 13543 14755 16358 18134 20423 22934 26890 30898 34369 37544 43740 58147 62704 67342 71855 81108 95535 113067 129848 140267 144467 149735 156561 164267 174546 185449 196800 206818 213951 221985 232037 245011 259845 269393 285495 294420 308866 328759
                                                                                  
 32702 33244 33631 33954 33592 32331 29029 28642 33366 36557 39133 43055 45063 46610 48447 53264 68865 102009 134499 156363 168701 173641 190986 187460 172663 181457 203665 217866 221926 236295 253591 281065 291883 307678 316998 327383 343510 365907 383488 400496 424612 458685 496145 535996 588864 655209 706846 773841 865769 1048637 1090520 1143973 1204580 1301226 1473608 1687873 1866609 1968008 2007994 2075803 2164654 2296005 2412665 2527709 2661856 2797828 2891382 3002534 3141116 3320857 3481369 3618920 3787603 3935964 4166172 4417071
 2790 2723 2680 2657 2320 2256 2190 2165 2171 2398 2677 2791 2959 3180 3432 3772 7583 21957 47031 68911 73776 64259 61412 51686 43684 39847 43381 49628 56278 62703 68066 72551 74698 76209 80462 83079 86859 94116 96624 99409 101964 107138 114279 119462 124199 130613 135263 144774 145335 151769 166021 177933 191652 200433 213538 236910 272813 300961 332181 349782 368343 390918 412983 444601 477786 517231 546594 572044 594054 618670 629493 633643 633696 634413 653139 669729
 29912 30521 30951 31297 31272 30075 26839 26477 31195 34159 36456 40264 42104 43429 45016 49492 61282 80052 87468 87452 94925 109381 129574 135775 128979 141610 160284 168239 165648 173592 185526 208515 217186 231469 236536 244304 256651 271791 286864 301087 322648 351547 381866 416533 464666 524596 571583 629067 720433 896869 924499 966040 1012928 1100793 1260070 1450963 1593796 1667048 1675813 1726021 1796311 1905086 1999682 2083109 2184071 2280597 2344787 2430490 2547063 2702187 2851876 2985277 3153907 3301550 3513033 3747342
                                                                                  
 5328 5640 6099 6583 6976 7135 6858 6848 8205 9042 9386 10897 11916 12461 12993 14130 15523 16022 16447 17120 17962 20542 23681 26768 26918 30208 33258 36228 37744 39144 42875 47791 51114 53915 55160 58116 61433 65395 69351 74158 80394 87619 95136 106263 118945 133353 151188 166502 188255 237895 261649 282046 309192 349148 403367 462793 504713 540524 559215 592762 617413 652566 689941 734533 776881 813748 841006 892115 944499 1001554 1051655 1105836 1155289 1205695 1263619 1325557
 71 83 99 112 124 126 133 139 142 142 140 146 157 162 172 184 227 294 300 293 297 329 383 454 499 663 811 1058 1179 1271 1367 1416 1497 1657 1874 2083 2247 2327 2479 2560 2642 2871 3137 3477 3933 4490 5036 5897 6869 8902 10569 11868 13070 14777 16832 19565 21922 23497 24507 26687 28771 31134 32131 34734 38046 41545 43795 47028 50734 53282 56085 58260 59834 63251 67124 70905
 5257 5558 6000 6471 6853 7009 6725 6709 8063 8899 9246 10752 11759 12300 12821 13945 15296 15729 16147 16827 17665 20213 23298 26314 26419 29546 32447 35170 36566 37873 41508 46376 49616 52258 53286 56033 59187 63068 66872 71599 77752 84748 91999 102785 115012 128863 146151 160605 181386 228994 251080 270178 296122 334371 386535 443228 482791 517027 534708 566075 588642 621432 657810 699799 738835 772203 797210 845087 893766 948272 995570 1047576 1095454 1142444 1196495 1254652
                                                                                  
 38030 38884 39731 40537 40563 39456 35874 35476 41553 45576 48485 53845 56763 58811 61108 66833 83327 116328 148328 170480 183353 189956 208194 209222 194228 204990 228601 246502 251192 264404 288908 319774 333471 351187 360856 373548 392195 417679 438956 459905 489546 529786 573889 622702 686073 765350 831995 911182 1021083 1249721 1311877 1381064 1462013 1590642 1805875 2072703 2285843 2417865 2466696 2563482 2675868 2838519 2982632 3126528 3293807 3461866 3581629 3735047 3914692 4140114 4344180 4528590 4739083 4928396 5203724 5505679
 2860 2806 2779 2769 2444 2382 2323 2304 2313 2540 2817 2936 3116 3342 3604 3956 7810 22251 47331 69204 74074 64588 61795 52139 44183 40509 44192 50686 57456 63975 69432 73966 76195 77866 82336 85162 89106 96443 99104 101969 104606 110009 117416 122940 128131 135103 140299 150671 152204 160670 176590 189802 204722 215210 230370 256475 294735 324457 356688 376470 397113 422053 445114 479335 515831 558776 590390 619073 644787 671952 685578 691903 693530 697664 720262 740634
 35170 36078 36951 37768 38119 37075 33551 33172 39240 43036 45667 50908 53647 55469 57504 62877 75517 94078 100997 101276 109280 125368 146399 157083 150045 164481 184409 195817 193736 200429 219476 245807 257276 273321 278520 288386 303089 321235 339852 357936 384940 419777 456472 499763 557941 630247 691696 760512 868879 1089050 1135287 1191262 1257291 1375432 1575505 1816228 1991108 2093408 2110008 2187013 2278754 2416467 2537518 2647193 2777976 2903090 2991239 3115975 3269905 3468162 3658602 3836687 4045553 4230731 4483461 4765045
 6772 6735 6586 6466 6285 5918 5381 5269 6156 6957 7950 9297 10290 10833 11289 12703 17366 28949 34771 36644 42132 50251 56531 59466 57357 60333 67496 72458 72375 74135 79261 86105 90013 94711 94207 95519 98867 102828 106769 109638 114519 121166 130326 138018 149124 162695 175677 195160 220648 263903 275406 297228 306298 331857 374752 420059 440286 455458 457822 477842 495260 519592 531420 551203 574567 590233 611397 634427 665715 694696 725329 754499 781877 799980 829243 859967
 4472 4401 4216 4039 3804 3448 3023 2856 3101 3294 3452 3714 3794 3811 3929 4668 8797 19943 24892 26380 30208 35467 39632 40638 38292 40865 46843 49839 49992 51048 54335 59689 62025 65817 64416 64453 66076 67448 68767 69544 70822 73598 79574 82946 88790 97179 103726 117408 135371 161912 161655 176069 175718 188820 213913 237390 236900 239809 238310 251666 261884 278409 280095 290434 301186 305845 317998 333208 351813 365281 376446 385632 395480 402883 414453 426874
 2301 2334 2371 2427 2481 2470 2358 2412 3056 3664 4498 5583 6495 7022 7360 8035 8569 9007 9879 10264 11924 14783 16899 18827 19065 19468 20653 22619 22383 23087 24926 26416 27988 28893 29792 31066 32790 35379 38002 40094 43697 47568 50752 55072 60334 65516 71951 77752 85278 101991 113751 121159 130580 143037 160839 182669 203386 215649 219512 226176 233376 241183 251325 260769 273381 284389 293399 301219 313902 329414 348883 368867 386397 397097 414790 433094
 28397 29343 30365 31302 31834 31156 28170 27903 33084 36078 37717 41611 43357 44635 46215 50174 58151 65128 66226 64632 67147 75117 89867 97617 92688 104148 116913 123359 121361 126294 140215 159702 167263 178610 184313 192867 204223 218408 233083 248298 270422 298611 326146 361745 408817 467552 516020 565351 648230 825148 859881 894034 950993 1043575 1200753 1396169 1550822 1637950 1652186 1709171 1783494 1896875 2006098 2095990 2203409 2312856 2379842 2481547 2604190 2773466 2933273 3082188 3263676 3430751 3654219 3905078

