  1925 1926 1927 1928 1929 1930 1931 1932 1933 1934 1935 1936 1937 1938 1939 1940 1941 1942 1943 1944 1945 1946 1947 1948 1949 1950 1951 1952 1953 1954 1955 1956 1957 1958 1959 1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983 1984 1985 1986 1987 1988 1989 1990 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000
 1641 1760 1906 2071 2163 2169 1995 1899 2149 2386 2568 2994 3318 3515 3666 3919 4145 4200 4520 4777 4807 5492 6088 7033 7279 8271 8733 9506 10265 10833 11923 13311 14545 15237 14775 15664 16586 17802 19016 20125 21517 23232 24710 27465 30166 34113 40215 44716 49746 62852 69894 77625 86824 99844 115704 131483 138225 147917 154072 165180 169406 177162 185605 198187 207658 214950 220634 238068 253560 268181 277527 289851 298175 310157 319105 326864
 1928 2038 2144 2240 2332 2387 2226 2131 2412 2638 2802 3126 3347 3434 3477 3705 3949 4027 4369 4642 4701 5375 5947 6810 6974 7839 8242 8920 9514 9937 10856 12061 13047 13495 13722 14255 14691 15162 15656 16456 17995 19223 20599 22962 24907 27252 30769 33269 36299 46578 52600 54718 59634 67259 76714 86016 89767 95680 99069 106070 108968 114391 120067 128126 134420 139592 143839 154693 164157 173869 179966 188501 195093 205179 213810 221520
 1489 1545 1721 1924 2059 2101 2127 2252 2968 3259 3177 3796 4191 4386 4493 4743 5149 5052 4693 4669 5267 5859 6760 7494 7221 7249 7872 8527 8141 8118 8691 9505 9854 10481 10969 11517 12200 13245 14438 15482 17268 19156 21531 24213 28329 32510 36196 39592 46149 61310 66060 70771 75503 85194 100026 118464 136025 146795 150973 156378 163651 172331 183716 195075 207256 218284 226604 235648 247723 263255 280866 292949 311321 322400 339902 362860
                                                                                  
 9168 8992 8702 8482 7893 7451 6832 6676 7562 8591 9884 11380 12578 13351 14000 15711 24429 50901 82708 106827 117424 116596 121705 113025 102959 102693 114318 124199 131110 141159 147393 159798 165855 172287 176502 180468 187611 198674 204694 209977 216927 228058 243545 256205 271694 290932 308631 338234 363859 411377 436502 470390 493187 528408 586729 652727 709137 752531 791342 826493 855560 895487 929450 985920 1039464 1087074 1129791 1176047 1228962 1279232 1314386 1343208 1366952 1381353 1423500 1463280
 6793 6589 6262 5982 5335 4895 4377 4165 4387 4589 4798 5145 5390 5529 5703 6523 13936 39718 70428 94168 103108 99256 101815 91207 81042 79885 90547 98112 105319 114806 119328 130318 134745 140202 143376 145977 151227 159303 161952 164084 166219 172062 183145 190576 199985 213214 223932 247459 264706 293690 305853 331646 343883 364736 402754 443609 476320 506018 538774 563952 582886 612148 633445 676102 712042 743057 772934 806788 842052 873475 885056 890902 892583 890646 906468 919562
 2321 2188 2046 1943 1531 1447 1354 1309 1287 1294 1336 1354 1415 1498 1549 1618 4653 18873 43822 65759 70632 60822 57350 47357 39495 34909 38606 44568 51245 57489 62509 66934 68880 70167 74288 76606 80007 86568 87919 89075 89789 92828 98009 101603 104698 109414 113028 121811 120300 122053 133449 143250 154152 159042 167277 184272 214493 239125 265304 276864 288013 302470 316995 338380 359359 384707 403780 420106 432988 447471 446240 440813 430449 418308 418805 416634
  NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN  41586 41579 41248 43580 44902 46786 49020 52964 57758 71499 84960 99008 95035 90879 88095 87271 90958 95309 103336 105435 104662 109946 117676 117260 115992 111284 105934 104476 103099
  NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN  17540 16012 16087 18331 22800 25055 21360 16904 18035 19326 21193 24932 29150 32857 37140 41266 44865 48303 53950 56688 63836 67836 67042 64746 59915 57469 55219 52578 49527
  NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN  25089 26801 30389 32639 35164 40071 44126 49345 53648 58435 61521 67107 73106 76977 81599 85569 91162 96332 101948 108494 111356 112944 118341 119430 117087 113785 108624 109218 108714
