 1929 1930 1931 1932 1933 1934 1935 1936 1937 1938 1939 1940 1941 1942 1943 1944 1945 1946 1947 1948 1949 1950 1951 1952 1953 1954 1955 1956 1957 1958 1959 1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983 1984 1985 1986 1987 1988 1989 1990 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000 2001
 9.4 10 9.9 8.8 8.7 10.6 10.9 13.1 12.8 13.8 14.7 15.1 26.6 62.8 94.9 105.5 93.2 39.8 36.4 40.6 46.8 46.9 68.3 83.9 90.8 86.5 86.8 91.8 100.1 106.5 112.5 113.8 121.5 132.2 138.5 145.1 153.7 174.3 195.3 212.8 224.6 237.1 251 270.1 287.9 322.4 361.1 384.5 415.3 455.6 503.5 569.7 631.4 684.4 735.9 800.8 878.3 942.3 997.9 1036.9 1100.2 1181.4 1235.5 1270.5 1293 1327.9 1372 1421.9 1487.9 1538.5 1632.5 1741 1839.5
 1.7 1.8 1.8 1.8 2.3 3.2 3.3 5.5 5 5.6 5.9 6.4 17.9 54.1 86.5 97 84.2 29 22.6 24.2 27.6 26 45 59.2 64.4 57.3 54.9 56.7 61.3 63.9 67.4 65.9 69.5 76.9 78.5 79.8 82.1 94.4 106.8 114 116.1 116.4 117.6 125.6 127.8 138.2 152.1 160.6 176 191.9 211.6 245.3 281.8 312.8 344.4 376.4 413.4 438.7 460.4 462.6 482.6 508.4 527.4 534.5 527.3 521.1 521.5 531.6 538.2 539.2 564 590.2 615.7
 0.9 0.9 0.9 0.9 0.9 0.8 1 1.2 1.3 1.4 1.5 2.5 14.3 51.2 84.2 94.6 82.1 25.3 18.2 18.4 19.9 19.6 39.3 52.4 56 49.3 47 49.3 53.7 55.5 56 55.2 58.1 62.8 62.7 61.8 62.4 73.8 85.8 92.2 92.6 90.9 89 93.5 93.9 99.7 107.9 113.2 122.6 132 146.7 169.6 197.8 228.3 252.5 283.5 312.4 332.2 351.2 355.9 363.2 374.9 384.5 378.5 364.9 355.1 350.6 357 352.6 349.1 364.5 375.4 399
 0.9 0.9 0.9 0.9 0.8 0.7 0.9 1 1 1 1.2 1.7 7.1 25.2 46.8 59.2 59.4 23.8 17.3 16.4 16.9 17.2 30.1 38.9 41.3 37.1 36.9 38.8 43.2 44.2 42.2 42.8 44.3 48.3 50.1 50.3 52.4 61.4 71.5 79 80.1 78.7 79.3 82.3 82.6 87.5 93.4 97.9 105.8 114.2 125.3 145.3 168.9 193.6 210.6 234.9 254.9 269.3 284.8 294.6 300.5 308.9 321.1 316.9 309.2 301.1 297.5 302.4 304.2 299.7 311.8 321.9 342.2
 0 0 0 0 0 0 0 0 0 0 0 0.1 1.4 7 12.8 13 12.7 -0.4 0.3 0.7 0.9 1.7 4.2 8 9.1 6.8 5.9 6 6.6 6.9 5.8 4.8 3.9 4.9 5 4.1 4.9 6.8 7.2 8.9 7.8 7.5 5.8 5.9 5.3 4.6 6.5 5.9 7.9 9.6 11.5 12.8 16.1 19.2 25 26.9 29.2 31.9 33.6 33.5 32 30.9 31.2 29 27.1 23.3 21 21 21.1 21.1 22.1 22.5 24.4
 0.1 0.1 0.1 0.1 0.1 0 0.1 0.1 0 0.1 0.1 0.1 0.6 5.2 8.7 9.7 7.3 0.7 0.3 0.7 0.8 0.9 2.3 2.7 4.2 3.2 1.6 1.7 2.1 2.1 2.3 2.5 2.9 3.6 3.3 3.6 3.4 4.7 7.3 8.4 7.6 5.3 4.4 4.8 4.4 5.3 5.1 4.5 4.6 4.9 6.3 10.1 12 11.6 11.3 10.5 10 10.3 10.3 10.6 10.8 11 10.7 9.5 8.4 7.6 6.3 7.7 7.5 6.9 8.1 10.4 10.3
 0.8 0.8 0.8 0.8 0.7 0.7 0.8 0.9 0.9 1 1.1 1.5 5.1 13 25.4 36.5 39.5 23.5 16.7 14.9 15.2 14.7 23.6 28.2 28 27.2 29.4 31.2 34.6 35.2 34.1 35.6 37.4 39.7 41.7 42.6 44.1 50 57 61.7 64.7 65.8 69 71.7 73 77.5 81.9 87.5 93.4 99.7 107.5 122.4 140.9 162.9 174.2 197.5 215.7 227.2 240.8 250.6 257.7 267 279.2 278.5 273.6 270.2 270.2 273.7 275.6 271.7 281.6 289 307.6
 0.6 0.6 0.6 0.5 0.5 0.5 0.6 0.6 0.6 0.7 0.7 1.1 3.5 10 20.2 27 29.3 14.1 7.8 6.9 7.8 7.9 13.4 16 15.9 15.3 15.7 16 16.4 16.9 17.2 17.6 18.2 19.3 20 21.5 22.5 26.2 29.3 32.4 34.7 36.6 38.2 40.5 41.4 44 47.8 50.2 53.5 57.4 61.5 68.4 78.6 87.2 92.2 107.3 115 118.4 123.2 126.5 131.2 134 141.3 142.5 138.1 134.2 130.4 133.1 132.5 131.2 133 137.9 143
 0.2 0.2 0.1 0.1 0.1 0.1 0.1 0.2 0.2 0.2 0.2 0.2 0.5 1.7 4.4 7.1 8.4 8.9 8.3 7 6 5.2 5.5 6.2 7 7.6 8 8.6 9.1 9.2 9.6 9.9 10.2 10.7 11.2 11.3 11.4 11.7 12.3 13.1 13.7 14.2 14.6 15.8 16.4 16.7 17.5 18.8 19.9 21.2 22.3 24.4 27.2 31 33.4 36.6 38.6 41.5 44.1 47 50.1 53.2 56.3 57.9 60.2 61.8 63 63 62.8 62.3 62.7 63.8 64
 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.2 0.2 1.1 1.2 0.8 2.4 1.8 0.5 0.7 1 1.4 1.5 4.8 6.1 5.1 4.2 5.7 6.5 9 9.1 7.3 8.1 9 9.7 10.5 9.8 10.1 12 15.4 16.3 16.4 15 16.2 15.4 15.3 16.8 16.5 18.5 20 21.1 23.6 29.6 35.1 44.6 48.6 53.6 62 67.3 73.6 77.1 76.4 79.8 81.6 78.1 75.3 74.2 76.8 77.7 80.2 78.2 85.8 87.4 100.6
