 1929 1930 1931 1932 1933 1934 1935 1936 1937 1938 1939 1940 1941 1942 1943 1944 1945 1946 1947 1948 1949 1950 1951 1952 1953 1954 1955 1956 1957 1958 1959 1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983 1984 1985 1986 1987 1988 1989 1990 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000 2001
 103.7 91.3 76.6 58.8 56.4 66 73.3 83.7 91.9 86.1 92 101.3 126.7 161.8 198.4 219.7 223 222.3 244.4 269.6 267.7 294.3 339.5 358.6 379.9 381.1 415.2 438 461.5 467.9 507.4 527.4 545.7 586.5 618.7 664.4 720.1 789.3 834.1 911.5 985.3 1039.7 1128.6 1240.4 1385.5 1501 1635.2 1823.9 2031.4 2295.9 2566.4 2795.6 3131.3 3259.2 3534.9 3932.7 4213 4452.9 4742.5 5108.3 5489.1 5803.2 5986.2 6318.9 6642.3 7054.3 7400.5 7813.2 8318.4 8781.5 9268.6 9872.9 10208.1
 1.1 1 0.8 0.5 0.4 0.4 0.5 0.6 0.7 0.6 0.7 0.6 0.7 0.7 0.7 0.8 0.8 1.1 1.6 2 1.9 2.2 2.8 2.9 2.9 3.1 3.5 4 4.3 3.9 4.3 5 5.4 6.1 6.6 7.4 8.1 8.3 8.9 10.3 11.9 13 14.1 16.4 23.8 30.3 28.2 32.9 37.9 47.4 70.4 81.8 95.6 102.4 102.5 122.9 113.1 111.1 122.9 151.8 177.2 188.3 167.7 151.1 154.4 184.3 232.3 245.6 281.3 286.1 313.8 384.2 335.2
 0.4 0.3 0.3 0.2 0.1 0.2 0.2 0.3 0.3 0.2 0.3 0.2 0.2 0.2 0.3 0.3 0.4 0.4 0.4 0.5 0.6 0.7 0.8 0.8 0.9 0.9 1 1.1 1.2 1.2 1.5 1.8 1.8 1.8 2.1 2.4 2.7 3.1 3.4 4.1 5.8 6.6 6.4 7.7 11.1 14.6 14.9 15.7 17.2 25.3 37.5 46.5 60.9 65.9 65.6 87.6 87.8 95.6 109.2 133.4 156.8 159.3 143 127.6 130.1 167.5 211.9 227.5 274.2 289.6 320.5 396.3 340.5
 104.5 92 77.1 59.2 56.7 66.3 73.7 84 92.3 86.5 92.5 101.7 127.2 162.2 198.8 220.1 223.4 223 245.6 271.1 269 295.8 341.5 360.7 381.9 383.3 417.8 440.8 464.7 470.7 510.3 530.6 549.3 590.7 623.2 669.4 725.5 794.5 839.5 917.6 991.5 1046.1 1136.2 1249.1 1398.2 1516.7 1648.4 1841 2052.1 2318 2599.3 2830.8 3166.1 3295.7 3571.8 3968.1 4238.4 4468.3 4756.2 5126.8 5509.4 5832.2 6010.9 6342.3 6666.7 7071.1 7420.9 7831.2 8325.4 8778.1 9261.8 9860.8 10202.8
 9.4 9.2 8.6 7.6 7.2 7.7 7.7 7.9 8.8 9.2 9.1 9.6 11.1 13.7 16.4 19.4 21 23.6 26.2 28.1 28.8 29.7 33.7 36.2 38.6 40.5 42.8 47.3 51.1 52.8 54.8 56.9 58.5 61 63.6 66.6 70.8 76.5 83.1 90.9 99.8 109.1 118.9 130.9 142.9 164.8 190.9 209 231.6 261.5 300.4 345.2 394.8 436.5 456.1 482.4 516.5 551.6 586.1 627.4 677.2 711.3 748 787.5 812.8 874.9 911.7 956.2 1013.3 1072 1151.4 1241.3 1351.4
 8.4 8.3 7.7 6.8 6.3 6.6 6.6 6.7 7.5 7.8 7.7 8.1 9 10.1 10.1 10.4 10.7 12.7 15.5 18.4 20 21.7 25 26.6 28.1 29.3 31 34.4 37.3 38.8 40.2 41.8 42.8 44.3 46 48.4 51.7 56.3 61.4 67.4 74.5 81.8 89.8 99.4 109.1 126.9 149.1 164.5 184.4 210.7 244.9 282.6 323.9 357.5 372.7 393.5 422.5 450.8 478.2 512.4 554 579.5 608.1 642.2 660.1 714.6 743.6 781.9 832.4 884.3 953.3 1029.9 1127.6
 7 7.1 7 6.5 6.2 6 6 6.1 6.2 6.3 6.4 6.6 7.3 8.4 8.9 9.8 10.2 8.9 10.9 13 15 16.7 19.1 21.1 23.5 25.7 28.8 31.3 34 35.5 37.8 39.9 41.6 46.2 49 52.1 55.9 60.2 65.1 70.3 77 82.6 88.9 99.5 108.3 119.8 131.5 142.6 161.9 183.1 209.7 238.6 292.8 335.1 376 424.1 479.6 495.3 515.6 545.4 573 574.7 589.2 612.8 637.9 688.6 729.3 779.4 844.5 905.6 991.6 1056.3 1181.1
 -1.4 -1.2 -0.7 -0.2 -0.2 -0.6 -0.6 -0.6 -1.3 -1.5 -1.3 -1.4 -1.7 -1.7 -1.2 -0.6 -0.5 -3.8 -4.6 -5.3 -5 -5 -5.9 -5.5 -4.6 -3.6 -2.2 -3.1 -3.4 -3.2 -2.4 -1.9 -1.2 1.8 3 3.8 4.1 3.9 3.6 2.9 2.5 0.8 -0.9 0.1 -0.9 -7.2 -17.6 -21.9 -22.5 -27.6 -35.2 -44 -31 -22.4 3.2 30.6 57.1 44.5 37.4 33.1 19 -4.8 -18.9 -29.4 -22.2 -26 -14.3 -2.5 12.1 21.3 38.4 26.4 53.6
 0.9 0.9 0.9 0.8 0.9 1.1 1.1 1.2 1.3 1.4 1.4 1.5 2 3.5 6.3 9 10.2 11 10.7 9.7 8.8 8 8.7 9.6 10.5 11.2 11.8 12.9 13.7 14 14.6 15.2 15.7 16.7 17.6 18.3 19.1 20.2 21.7 23.4 25.2 27.3 29.2 31.5 33.8 37.9 41.8 44.4 47.2 50.8 55.5 62.7 71 79 83.3 88.8 94 100.8 107.8 115 123.2 131.8 140 145.3 152.6 160.3 168.1 174.3 180.9 187.6 198.1 211.3 223.8
 0.8 0.8 0.8 0.7 0.8 0.9 0.9 1 1.1 1.2 1.2 1.3 1.8 3.2 6 8.7 9.9 10.6 10.3 9.3 8.3 7.5 8.1 9 9.8 10.5 11.1 12 12.8 13 13.6 14.1 14.6 15.4 16.3 16.9 17.6 18.6 19.9 21.5 23 24.8 26.4 28.4 30.3 33.7 36.7 38.9 41.2 44.1 47.9 53.9 61 68.1 71.9 76.7 81 87.1 93.2 99.4 106.3 113.9 121.2 125.5 131.5 137.5 144.3 149.2 154.6 160.1 168.9 180.1 189.4
