 142 143 140 122 119 135 148 164 177 171 172 174 184 193 204 214 215 228 229 221
 253 235 205 156 135 147 150 164 182 163 173 186 202 204 193 196 197 233 235 240
 429 434 419 399 390 403 420 455 491 516 522 549 580 614 655 665 661 701 767 832
 90 94 99 100 101 100 104 105 108 112 116 116 117 111 104 95 90 103 104 102
 224 228 232 233 233 234 240 244 251 259 265 271 276 282 288 292 295 313 337 437
 351 358 354 341 335 339 338 342 332 331 328 390 427 448 455 479 493 572 599 647
 35 37 29 21 21 23 25 29 31 33 37 41 53 78 63 59 66 82 93 129
 2348 2193 1962 1680 1592 1797 1878 2008 2128 1942 2075 2200 2057 2092 1739 1655 1632 1503 1605 1574
 3152 3287 3369 3331 3841 4700 5001 6120 5503 6127 6114 6251 7282 9714 14810 17079 16954 8698 6697 6744
 847 893 874 861 1237 1738 1799 3514 2834 3360 3312 3412 4419 6906 12078 14366 14217 5770 3528 3460
 548 593 576 564 937 1415 1463 3171 2485 2994 2937 3023 3988 6457 11573 13885 13722 5195 3018 2922
 267 310 296 290 294 357 449 521 517 507 560 642 944 1702 2497 2520 2420 1758 1386 1378
 281 283 280 274 270 271 286 316 341 357 381 592 1680 4154 9029 11365 11302 3437 1632 1544
  NaN   NaN   NaN   NaN  373 787 728 2334 1627 2130 1996 1789 1364 601 47  NaN   NaN   NaN   NaN   NaN 
 299 300 298 297 300 323 336 343 349 366 375 389 431 449 505 481 495 575 510 538
 2305 2394 2495 2470 2604 2962 3202 2606 2669 2767 2802 2839 2863 2808 2732 2713 2737 2928 3169 3284
 2195 2278 2378 2366 2505 2857 3092 2487 2544 2641 2674 2693 2705 2655 2577 2564 2589 2771 2992 3073
 1030 1057 1067 1056 1032 1031 1059 1080 1110 1139 1166 1176 1190 1186 1169 1158 1166 1215 1299 1350
 1165 1217 1267 1223 1174 1223 1268 1352 1401 1496 1497 1506 1509 1467 1408 1406 1423 1556 1693 1723
  NaN  4 44 87 299 603 765 55 33 6 11 11 6 2  NaN   NaN   NaN   NaN   NaN   NaN 
 110 116 117 104 99 105 110 119 125 126 128 146 158 153 155 149 148 157 177 211
 0 0 1 1 1 1 1 1 1 1 1 2 3 5 -21 -55 -66 -47 -5 7

